"date","ageSib","ethnicityCensus","geog","datacol"
2019,0,0,1,4519
2019,0,0,2,3960
2019,0,0,3,42900
2019,0,0,4,15303
2019,0,0,5,11464
2019,0,0,6,102998
2019,0,0,7,540
2019,0,0,8,21394
2019,0,0,9,8683
2019,0,0,10,892
2019,0,0,11,20878
2019,0,0,12,268
2019,0,0,13,21002
2019,0,0,14,13064
2019,0,0,15,14956
2019,0,0,16,3824
2019,0,0,17,424898
2019,0,0,18,53344
2019,0,0,19,6749
2019,0,0,20,3444
2019,0,0,21,14740
2019,0,0,22,1783
2019,0,0,23,10068
2019,0,0,24,7550
2019,0,0,25,2757
2019,0,0,26,2059
2019,0,0,27,188114
2019,0,0,28,2210
2019,0,0,29,23694
2019,0,0,30,1898
2019,0,0,31,170738
2019,0,0,32,103858
2019,0,0,33,8110
2019,0,0,34,57002
2019,0,0,35,433
2019,0,0,36,11224
2019,0,0,37,39984
2019,0,0,38,6028
2019,0,0,39,58694
2019,0,1,1,2
2019,0,1,2,0
2019,0,1,3,161
2019,0,1,4,16
2019,0,1,5,355
2019,0,1,6,410
2019,0,1,7,0
2019,0,1,8,108
2019,0,1,9,2
2019,0,1,10,57
2019,0,1,11,5
2019,0,1,12,0
2019,0,1,13,53
2019,0,1,14,285
2019,0,1,15,28
2019,0,1,16,6
2019,0,1,17,1560
2019,0,1,18,356
2019,0,1,19,0
2019,0,1,20,0
2019,0,1,21,60
2019,0,1,22,0
2019,0,1,23,171
2019,0,1,24,427
2019,0,1,25,8
2019,0,1,26,12
2019,0,1,27,1185
2019,0,1,28,0
2019,0,1,29,223
2019,0,1,30,0
2019,0,1,31,1068
2019,0,1,32,816
2019,0,1,33,195
2019,0,1,34,348
2019,0,1,35,0
2019,0,1,36,4
2019,0,1,37,520
2019,0,1,38,0
2019,0,1,39,1000
2019,0,2,1,0
2019,0,2,2,0
2019,0,2,3,548
2019,0,2,4,7
2019,0,2,5,27
2019,0,2,6,2400
2019,0,2,7,0
2019,0,2,8,50
2019,0,2,9,0
2019,0,2,10,0
2019,0,2,11,104
2019,0,2,12,0
2019,0,2,13,11
2019,0,2,14,32
2019,0,2,15,279
2019,0,2,16,0
2019,0,2,17,34581
2019,0,2,18,1184
2019,0,2,19,8
2019,0,2,20,0
2019,0,2,21,6
2019,0,2,22,0
2019,0,2,23,5
2019,0,2,24,0
2019,0,2,25,0
2019,0,2,26,0
2019,0,2,27,5342
2019,0,2,28,0
2019,0,2,29,143
2019,0,2,30,0
2019,0,2,31,8502
2019,0,2,32,1032
2019,0,2,33,0
2019,0,2,34,1585
2019,0,2,35,0
2019,0,2,36,0
2019,0,2,37,627
2019,0,2,38,189
2019,0,2,39,251
2019,0,3,1,0
2019,0,3,2,0
2019,0,3,3,239
2019,0,3,4,0
2019,0,3,5,0
2019,0,3,6,1151
2019,0,3,7,0
2019,0,3,8,12
2019,0,3,9,0
2019,0,3,10,0
2019,0,3,11,65
2019,0,3,12,0
2019,0,3,13,46
2019,0,3,14,0
2019,0,3,15,188
2019,0,3,16,0
2019,0,3,17,15108
2019,0,3,18,786
2019,0,3,19,0
2019,0,3,20,0
2019,0,3,21,0
2019,0,3,22,0
2019,0,3,23,0
