date,ageSib,ethnicityCensus,allegation,geog,datacol
2014,0,0,0,1,58.98
2014,0,0,0,2,88.89
2014,0,0,0,3,42.19
2014,0,0,0,4,55.73
2014,0,0,0,5,76.24
2014,0,0,0,6,53.05
2014,0,0,0,7,85.19
2014,0,0,0,8,102.37
2014,0,0,0,9,49.17
2014,0,0,0,10,130.04
2014,0,0,0,11,45.69
2014,0,0,0,12,111.94
2014,0,0,0,13,69.61
2014,0,0,0,14,98.13
2014,0,0,0,15,54.83
2014,0,0,0,16,84.21
2014,0,0,0,17,38.74
2014,0,0,0,18,50.39
2014,0,0,0,19,53.18
2014,0,0,0,20,103.67
2014,0,0,0,21,99.86
2014,0,0,0,22,61.73
2014,0,0,0,23,88.60
2014,0,0,0,24,77.88
2014,0,0,0,25,123.55
2014,0,0,0,26,89.41
2014,0,0,0,27,58.16
2014,0,0,0,28,54.35
2014,0,0,0,29,63.56
2014,0,0,0,30,90.62
2014,0,0,0,31,45.53
2014,0,0,0,32,79.84
2014,0,0,0,33,70.04
2014,0,0,0,34,48.88
2014,0,0,0,35,120.37
2014,0,0,0,36,63.05
2014,0,0,0,37,63.83
2014,0,0,0,38,47.78
2014,0,0,0,39,74.93
2014,0,0,1,1,18.60
2014,0,0,1,2,27.78
2014,0,0,1,3,13.33
2014,0,0,1,4,14.78
2014,0,0,1,5,19.36
2014,0,0,1,6,18.66
2014,0,0,1,7,22.22
2014,0,0,1,8,30.29
2014,0,0,1,9,11.54
2014,0,0,1,10,29.15
2014,0,0,1,11,15.23
2014,0,0,1,12,29.85
2014,0,0,1,13,20.66
2014,0,0,1,14,11.02
2014,0,0,1,15,14.31
2014,0,0,1,16,17.26
2014,0,0,1,17,11.41
2014,0,0,1,18,13.42
2014,0,0,1,19,11.88
2014,0,0,1,20,20.38
2014,0,0,1,21,27.41
2014,0,0,1,22,13.47
2014,0,0,1,23,23.84
2014,0,0,1,24,18.28
2014,0,0,1,25,37.79
2014,0,0,1,26,19.44
2014,0,0,1,27,18.66
2014,0,0,1,28,9.06
2014,0,0,1,29,12.83
2014,0,0,1,30,26.34
2014,0,0,1,31,10.50
2014,0,0,1,32,20.91
2014,0,0,1,33,13.07
2014,0,0,1,34,14.67
2014,0,0,1,35,37.04
2014,0,0,1,36,20.00
2014,0,0,1,37,12.61
2014,0,0,1,38,11.94
2014,0,0,1,39,17.92
2014,0,0,2,1,3.18
2014,0,0,2,2,3.54
2014,0,0,2,3,1.96
2014,0,0,2,4,3.14
2014,0,0,2,5,3.66
2014,0,0,2,6,3.03
2014,0,0,2,7,11.11
2014,0,0,2,8,3.55
2014,0,0,2,9,2.08
2014,0,0,2,10,11.21
2014,0,0,2,11,2.68
2014,0,0,2,12,.00
2014,0,0,2,13,4.67
2014,0,0,2,14,5.51
2014,0,0,2,15,2.81
2014,0,0,2,16,5.75
2014,0,0,2,17,2.06
2014,0,0,2,18,2.59
2014,0,0,2,19,3.86
2014,0,0,2,20,4.66
2014,0,0,2,21,6.38
2014,0,0,2,22,5.61
2014,0,0,2,23,3.18
2014,0,0,2,24,3.97
2014,0,0,2,25,8.72
2014,0,0,2,26,6.80
2014,0,0,2,27,2.69
2014,0,0,2,28,3.62
2014,0,0,2,29,2.28
2014,0,0,2,30,4.21
2014,0,0,2,31,2.01
2014,0,0,2,32,4.12
2014,0,0,2,33,3.70
2014,0,0,2,34,2.42
2014,0,0,2,35,9.26
2014,0,0,2,36,3.75
2014,0,0,2,37,2.40
2014,0,0,2,38,3.65
2014,0,0,2,39,3.61
2014,0,0,3,1,40.38
2014,0,0,3,2,65.15
2014,0,0,3,3,30.54
2014,0,0,3,4,36.76
2014,0,0,3,5,52.51
2014,0,0,3,6,33.46
2014,0,0,3,7,66.67
2014,0,0,3,8,69.27
2014,0,0,3,9,33.93
2014,0,0,3,10,85.20
2014,0,0,3,11,29.41
2014,0,0,3,12,97.01
2014,0,0,3,13,47.90
2014,0,0,3,14,36.44
2014,0,0,3,15,35.30
2014,0,0,3,16,60.67
2014,0,0,3,17,23.90
2014,0,0,3,18,34.72
2014,0,0,3,19,38.03
2014,0,0,3,20,80.37
2014,0,0,3,21,65.54
2014,0,0,3,22,41.53
2014,0,0,3,23,59.00
2014,0,0,3,24,55.89
2014,0,0,3,25,93.02
2014,0,0,3,26,58.31
2014,0,0,3,27,35.84
2014,0,0,3,28,38.95
2014,0,0,3,29,40.60
2014,0,0,3,30,66.39
2014,0,0,3,31,27.36
2014,0,0,3,32,53.00
2014,0,0,3,33,51.54
2014,0,0,3,34,30.28
2014,0,0,3,35,64.81
2014,0,0,3,36,44.29
2014,0,0,3,37,43.92
2014,0,0,3,38,38.82
2014,0,0,3,39,47.33
2014,0,0,4,1,50.36
2014,0,0,4,2,78.79
2014,0,0,4,3,36.46
2014,0,0,4,4,44.74
2014,0,0,4,5,63.85
2014,0,0,4,6,46.37
2014,0,0,4,7,70.37
2014,0,0,4,8,86.66
2014,0,0,4,9,38.55
2014,0,0,4,10,103.14
2014,0,0,4,11,37.07
2014,0,0,4,12,104.48
2014,0,0,4,13,59.14
2014,0,0,4,14,43.78
2014,0,0,4,15,45.47
2014,0,0,4,16,70.08
2014,0,0,4,17,31.54
2014,0,0,4,18,43.75
2014,0,0,4,19,42.19
2014,0,0,4,20,89.11
2014,0,0,4,21,84.12
2014,0,0,4,22,49.38
2014,0,0,4,23,70.32
2014,0,0,4,24,65.17
2014,0,0,4,25,114.83
2014,0,0,4,26,66.08
2014,0,0,4,27,48.22
2014,0,0,4,28,45.29
2014,0,0,4,29,49.80
2014,0,0,4,30,81.14
2014,0,0,4,31,34.40
2014,0,0,4,32,63.34
2014,0,0,4,33,58.45
2014,0,0,4,34,40.17
2014,0,0,4,35,87.96
2014,0,0,4,36,55.55
2014,0,0,4,37,52.72
2014,0,0,4,38,44.79
2014,0,0,4,39,56.87
2014,0,1,0,3,99.38
2014,0,1,0,5,242.25
2014,0,1,0,6,73.17
2014,0,1,0,8,231.48
2014,0,1,0,10,175.44
2014,0,1,0,13,207.55
2014,0,1,0,14,164.91
2014,0,1,0,15,285.71
2014,0,1,0,17,190.38
2014,0,1,0,18,132.02
2014,0,1,0,21,83.33
2014,0,1,0,23,228.07
2014,0,1,0,24,131.15
2014,0,1,0,27,173.00
2014,0,1,0,29,233.18
2014,0,1,0,31,200.37
2014,0,1,0,32,258.58
2014,0,1,0,33,112.82
2014,0,1,0,34,146.55
2014,0,1,0,37,284.62
2014,0,1,1,3,37.27
2014,0,1,1,4,125.00
2014,0,1,1,5,30.99
2014,0,1,1,6,29.27
2014,0,1,1,8,74.07
2014,0,1,1,10,87.72
2014,0,1,1,13,75.47
2014,0,1,1,14,28.07
2014,0,1,1,15,71.43
2014,0,1,1,16,333.33
2014,0,1,1,17,32.05
2014,0,1,1,18,30.90
2014,0,1,1,21,33.33
2014,0,1,1,23,40.94
2014,0,1,1,24,30.44
2014,0,1,1,26,166.67
