date,ageSib,ethnicityCensus,allegation,geog,datacol
2014,0,0,0,1,73.44
2014,0,0,0,2,59.68
2014,0,0,0,3,50.74
2014,0,0,0,4,38.74
2014,0,0,0,5,56.43
2014,0,0,0,6,66.04
2014,0,0,1,1,19.11
2014,0,0,1,2,16.04
2014,0,0,1,3,11.23
2014,0,0,1,4,11.41
2014,0,0,1,5,17.49
2014,0,0,1,6,19.33
2014,0,0,2,1,3.88
2014,0,0,2,2,2.98
2014,0,0,2,3,2.13
2014,0,0,2,4,2.06
2014,0,0,2,5,2.66
2014,0,0,2,6,3.36
2014,0,0,3,1,49.75
2014,0,0,3,2,39.85
2014,0,0,3,3,31.78
2014,0,0,3,4,23.90
2014,0,0,3,5,35.58
2014,0,0,3,6,41.37
2014,0,0,4,1,59.43
2014,0,0,4,2,47.89
2014,0,0,4,3,39.49
2014,0,0,4,4,31.54
2014,0,0,4,5,47.22
2014,0,0,4,6,53.95
2014,0,1,0,1,197.67
2014,0,1,0,2,99.38
2014,0,1,0,3,227.84
2014,0,1,0,4,190.38
2014,0,1,0,5,162.88
2014,0,1,0,6,159.47
2014,0,1,1,1,51.40
2014,0,1,1,2,47.37
2014,0,1,1,3,37.52
2014,0,1,1,4,32.05
2014,0,1,1,5,35.04
2014,0,1,1,6,29.26
2014,0,1,2,1,15.75
2014,0,1,2,2,12.94
2014,0,1,2,3,7.18
2014,0,1,2,4,7.05
2014,0,1,2,5,3.89
2014,0,1,2,6,6.37
2014,0,1,3,1,122.46
2014,0,1,3,2,217.92
2014,0,1,3,3,174.01
2014,0,1,3,4,131.41
2014,0,1,3,5,103.18
2014,0,1,3,6,90.96
2014,0,1,4,1,144.87
2014,0,1,4,2,238.59
2014,0,1,4,3,192.50
2014,0,1,4,4,151.92
2014,0,1,4,5,123.30
2014,0,1,4,6,107.66
2014,0,2,0,1,30.13
2014,0,2,0,2,27.44
2014,0,2,0,3,13.40
2014,0,2,0,4,13.85
2014,0,2,0,5,22.37
2014,0,2,0,6,20.52
2014,0,2,1,1,12.21
2014,0,2,1,2,11.07
2014,0,2,1,3,4.08
2014,0,2,1,4,5.96
2014,0,2,1,5,10.42
2014,0,2,1,6,8.17
2014,0,2,2,1,3.88
2014,0,2,2,2,4.60
2014,0,2,2,3,.85
2014,0,2,2,4,.64
2014,0,2,2,5,1.84
2014,0,2,2,6,2.01
2014,0,2,3,1,23.62
2014,0,2,3,2,19.93
2014,0,2,3,3,6.18
2014,0,2,3,4,7.92
2014,0,2,3,5,12.72
2014,0,2,3,6,13.91
2014,0,2,4,1,25.24
2014,0,2,4,2,25.47
2014,0,2,4,3,8.90
2014,0,2,4,4,11.80
2014,0,2,4,5,19.92
2014,0,2,4,6,18.56
2014,0,3,0,1,190.64
2014,0,3,0,2,131.80
2014,0,3,0,3,65.87
2014,0,3,0,4,107.29
2014,0,3,0,5,94.60
2014,0,3,0,6,85.04
2014,0,3,1,1,59.33
2014,0,3,1,2,48.12
2014,0,3,1,3,15.62
2014,0,3,1,4,34.29
2014,0,3,1,5,32.55
2014,0,3,1,6,33.07
2014,0,3,2,1,3.71
2014,0,3,2,2,16.74
2014,0,3,2,3,2.69
2014,0,3,2,4,4.04
2014,0,3,2,5,2.56
2014,0,3,2,6,6.61
2014,0,3,3,1,125.15
2014,0,3,3,2,73.22
2014,0,3,3,3,34.97
2014,0,3,3,4,61.69
2014,0,3,3,5,53.15
2014,0,3,3,6,48.46
2014,0,3,4,1,152.05
2014,0,3,4,2,104.60
2014,0,3,4,3,47.88
2014,0,3,4,4,82.41
2014,0,3,4,5,76.31
2014,0,3,4,6,71.26
2014,0,4,0,1,106.60
