"date","ageSib","ethnicityCensus","geog","datacol"
"2019",0,0,1,62.16
"2019",0,0,2,115.15
"2019",0,0,3,69.74
"2019",0,0,4,49.32
"2019",0,0,5,95.6
"2019",0,0,6,58.12
"2019",0,0,7,111.11
"2019",0,0,8,119.94
"2019",0,0,9,67.87
"2019",0,0,10,141.26
"2019",0,0,11,63.61
"2019",0,0,12,119.4
"2019",0,0,13,84.56
"2019",0,0,14,115.13
"2019",0,0,15,73.55
"2019",0,0,16,80.54
"2019",0,0,17,43.13
"2019",0,0,18,52.3
"2019",0,0,19,82.59
"2019",0,0,20,119.39
"2019",0,0,21,104.88
"2019",0,0,22,130.19
"2019",0,0,23,97.34
"2019",0,0,24,87.42
"2019",0,0,25,117.01
"2019",0,0,26,134.11
"2019",0,0,27,68.49
"2019",0,0,28,95.11
"2019",0,0,29,95.38
"2019",0,0,30,59.01
"2019",0,0,31,60.34
"2019",0,0,32,94.26
"2019",0,0,33,88.53
"2019",0,0,34,70.31
"2019",0,0,35,101.85
"2019",0,0,36,80.55
"2019",0,0,37,85.98
"2019",0,0,38,61.71
"2019",0,0,39,89.62
"2019",0,1,1,500
"2019",0,1,3,99.38
"2019",0,1,4,250
"2019",0,1,5,270.42
"2019",0,1,6,126.83
"2019",0,1,8,305.56
"2019",0,1,9,2500
"2019",0,1,10,105.26
"2019",0,1,11,2200
"2019",0,1,13,358.49
"2019",0,1,14,214.04
"2019",0,1,15,71.43
"2019",0,1,16,333.33
"2019",0,1,17,198.72
"2019",0,1,18,148.88
"2019",0,1,21,150
"2019",0,1,23,157.89
"2019",0,1,24,194.38
"2019",0,1,25,125
"2019",0,1,26,666.67
"2019",0,1,27,190.72
"2019",0,1,29,336.32
"2019",0,1,31,231.27
"2019",0,1,32,229.17
"2019",0,1,33,138.46
"2019",0,1,34,209.77
"2019",0,1,36,1500
"2019",0,1,37,457.69
"2019",0,1,39,332
"2019",0,2,3,23.72
"2019",0,2,4,142.86
"2019",0,2,5,148.15
"2019",0,2,6,17.08
"2019",0,2,8,100
"2019",0,2,11,9.62
"2019",0,2,13,181.82
"2019",0,2,14,312.5
"2019",0,2,15,35.84
"2019",0,2,17,17.78
"2019",0,2,18,28.72
"2019",0,2,19,1000
"2019",0,2,21,666.67
"2019",0,2,23,200
"2019",0,2,27,33.88
"2019",0,2,29,97.9
"2019",0,2,31,21.29
"2019",0,2,32,35.85
"2019",0,2,34,39.75
"2019",0,2,37,30.3
"2019",0,2,38,21.16
"2019",0,2,39,15.94
"2019",0,3,3,96.23
"2019",0,3,6,139.01
"2019",0,3,8,1416.67
"2019",0,3,11,338.46
"2019",0,3,13,239.13
"2019",0,3,15,111.7
"2019",0,3,17,110.41
"2019",0,3,18,62.34
"2019",0,3,27,122.29
"2019",0,3,29,880
"2019",0,3,31,89.37
"2019",0,3,32,233.62
"2019",0,3,34,136.27
"2019",0,3,36,3000
"2019",0,3,37,152
"2019",0,3,39,195.4
"2019",0,4,6,133.72
"2019",0,4,15,583.33
"2019",0,4,17,110.93
"2019",0,4,18,50.93
"2019",0,4,27,109.55
"2019",0,4,31,234.38
"2019",0,4,32,284.26
"2019",0,4,34,154.64
"2019",0,4,37,615.38
"2019",0,5,1,87.93
"2019",0,5,2,103.54
"2019",0,5,3,70.68
"2019",0,5,4,54.74
"2019",0,5,5,76.56
"2019",0,5,6,50.97
"2019",0,5,7,81.48
"2019",0,5,8,111.18
"2019",0,5,9,69.72
"2019",0,5,10,120.82
"2019",0,5,11,88.47
