"date","ageCensus","ethnicityCensus","geog","datacol"
"2018",0,0,1,0.4
"2018",0,0,2,5.3
"2018",0,0,3,2.53
"2018",0,0,4,4.6
"2018",0,0,5,6.97
"2018",0,0,6,2.83
"2018",0,0,8,5.76
"2018",0,0,10,2.86
"2018",0,0,11,0.66
"2018",0,0,13,5.63
"2018",0,0,14,6.14
"2018",0,0,15,2.03
"2018",0,0,16,2.76
"2018",0,0,17,2
"2018",0,0,18,3.17
"2018",0,0,19,1.88
"2018",0,0,20,8.61
"2018",0,0,21,6.61
"2018",0,0,22,0.9
"2018",0,0,23,9.39
"2018",0,0,24,3.09
"2018",0,0,25,7.98
"2018",0,0,26,4.37
"2018",0,0,27,4.2
"2018",0,0,28,1.84
"2018",0,0,29,3.8
"2018",0,0,30,1.76
"2018",0,0,31,3.05
"2018",0,0,32,5.19
"2018",0,0,33,4.76
"2018",0,0,34,4.21
"2018",0,0,36,4.54
"2018",0,0,37,2.12
"2018",0,0,38,2.09
"2018",0,0,39,4.36
"2018",0,1,3,5.73
"2018",0,1,5,12.57
"2018",0,1,6,2.32
"2018",0,1,8,5.05
"2018",0,1,11,3.38
"2018",0,1,14,6.94
"2018",0,1,15,24.39
"2018",0,1,17,3.16
"2018",0,1,18,4.77
"2018",0,1,21,15.5
"2018",0,1,23,4.69
"2018",0,1,24,6.05
"2018",0,1,27,5.04
"2018",0,1,29,14.25
"2018",0,1,30,21.74
"2018",0,1,31,7.68
"2018",0,1,32,8.61
"2018",0,1,33,6.92
"2018",0,1,34,7.52
"2018",0,1,37,12.17
"2018",0,1,39,10.38
"2018",0,2,6,0.19
"2018",0,2,8,10.26
"2018",0,2,17,0.37
"2018",0,2,18,0.38
"2018",0,2,27,1.01
"2018",0,2,29,7.07
"2018",0,2,31,0.37
"2018",0,2,32,1.44
"2018",0,2,34,1.08
"2018",0,2,37,0.55
"2018",0,3,1,5.18
"2018",0,3,2,18.52
"2018",0,3,3,8.22
"2018",0,3,5,36.76
"2018",0,3,6,12.41
"2018",0,3,8,24.39
"2018",0,3,11,5.22
"2018",0,3,13,8.18
"2018",0,3,14,5.46
"2018",0,3,15,1.62
"2018",0,3,17,4.89
"2018",0,3,18,7.17
"2018",0,3,21,28.74
"2018",0,3,23,48
"2018",0,3,27,7.3
"2018",0,3,29,5.08
"2018",0,3,31,4.53
"2018",0,3,32,5.95
"2018",0,3,34,9.76
"2018",0,3,37,7.01
"2018",0,3,39,5.61
"2018",0,4,3,6.45
"2018",0,4,6,4.76
"2018",0,4,17,5.74
"2018",0,4,18,1.31
"2018",0,4,23,42.86
"2018",0,4,27,3.57
"2018",0,4,31,9.15
"2018",0,4,32,3.65
"2018",0,4,34,1.2
"2018",0,4,39,11.7
"2018",0,5,1,0.6
"2018",0,5,2,6.77
"2018",0,5,3,2.15
"2018",0,5,4,4.08
"2018",0,5,5,5.69
"2018",0,5,6,2.44
"2018",0,5,8,4.88
"2018",0,5,10,3.44
"2018",0,5,11,0.66
"2018",0,5,13,5.11
"2018",0,5,14,5.29
"2018",0,5,15,2.35
"2018",0,5,16,3.37
"2018",0,5,17,1.63
"2018",0,5,18,2.95
"2018",0,5,19,1.58
"2018",0,5,20,10.17
"2018",0,5,21,5.24
"2018",0,5,22,0.48
"2018",0,5,23,9.75
"2018",0,5,24,2.52
"2018",0,5,25,9.45
"2018",0,5,26,3.75
"2018",0,5,27,3.14
"2018",0,5,28,1.55
"2018",0,5,29,2.9
"2018",0,5,30,2.45
"2018",0,5,31,2.95
"2018",0,5,32,4.07
"2018",0,5,33,4.29
"2018",0,5,34,4.41
"2018",0,5,36,3.73
"2018",0,5,37,1.42
"2018",0,5,38,2.27
"2018",0,5,39,3.92
"2018",0,8,2,3.11
"2018",0,8,3,5.21
"2018",0,8,4,21.65
"2018",0,8,5,11.07
"2018",0,8,6,3.44
"2018",0,8,8,10.86
"2018",0,8,11,1.62
"2018",0,8,13,20.46
"2018",0,8,14,15.33
"2018",0,8,15,0.46
"2018",0,8,16,5.65
"2018",0,8,17,3.49
"2018",0,8,18,4.47
"2018",0,8,19,8.73
"2018",0,8,20,10.99
"2018",0,8,21,21.65
"2018",0,8,23,7.36
"2018",0,8,24,12.31
"2018",0,8,25,9.46
"2018",0,8,27,7.75
"2018",0,8,29,4.93
"2018",0,8,31,4.53
"2018",0,8,32,15.62
"2018",0,8,33,7.29
"2018",0,8,34,3.01
"2018",0,8,36,13.91
"2018",0,8,37,5.07
"2018",0,8,38,15.33
"2018",0,8,39,5.48
"2018",0,9,1,0.33
"2018",0,9,2,2.71
"2018",0,9,3,3.67
"2018",0,9,4,3.28
"2018",0,9,5,0.55
"2018",0,9,6,4.08
"2018",0,9,8,5.85
"2018",0,9,11,0.76
"2018",0,9,13,4.42
"2018",0,9,14,2.53
"2018",0,9,15,1.84
"2018",0,9,17,2.52
"2018",0,9,18,2.52
"2018",0,9,19,0.67
"2018",0,9,20,0.91
"2018",0,9,21,8.67
"2018",0,9,23,5.62
"2018",0,9,24,1.6
"2018",0,9,25,6.88
"2018",0,9,27,4.14
"2018",0,9,29,2.38
"2018",0,9,31,2.41
"2018",0,9,32,8.84
"2018",0,9,33,8.36
"2018",0,9,34,3.68
"2018",0,9,36,2.18
"2018",0,9,37,2.41
"2018",0,9,38,5.65
"2018",0,9,39,3.75
"2018",0,10,2,2.4
"2018",0,10,3,4.25
"2018",0,10,4,11.95
"2018",0,10,5,13.4
"2018",0,10,6,3.23
"2018",0,10,8,10.03
"2018",0,10,13,10.42
"2018",0,10,14,9.01
"2018",0,10,15,0.71
"2018",0,10,16,1.73
"2018",0,10,17,1.84
"2018",0,10,18,3.69
"2018",0,10,19,6.43
"2018",0,10,20,15.92
"2018",0,10,21,11.83
"2018",0,10,23,7.7
"2018",0,10,24,5.93
"2018",0,10,25,2.13
"2018",0,10,27,5.9
"2018",0,10,29,12.38
"2018",0,10,30,11.49
"2018",0,10,31,3.22
"2018",0,10,32,10.34
"2018",0,10,33,6.71
"2018",0,10,34,2.85
"2018",0,10,36,16.67
"2018",0,10,37,6.1
"2018",0,10,38,6.55
"2018",0,10,39,10.95
"2018",0,11,2,6.76
"2018",0,11,3,1.56
"2018",0,11,4,5.87
"2018",0,11,5,6.04
"2018",0,11,6,2.19
"2018",0,11,8,4.48
"2018",0,11,10,1.24
"2018",0,11,11,0.52
"2018",0,11,13,6.92
"2018",0,11,14,6.16
