"date","ageCensus","ethnicityCensus","geog","datacol"
2019,0,0,1,NA
2019,0,0,2,NA
2019,0,0,3,NA
2019,0,0,4,NA
2019,0,0,5,NA
2019,0,0,6,NA
2019,0,1,1,NA
2019,0,1,2,NA
2019,0,1,3,NA
2019,0,1,4,NA
2019,0,1,5,NA
2019,0,1,6,NA
2019,0,2,1,NA
2019,0,2,2,NA
2019,0,2,3,NA
2019,0,2,4,NA
2019,0,2,5,NA
2019,0,2,6,NA
2019,0,3,1,NA
2019,0,3,2,NA
2019,0,3,3,NA
2019,0,3,4,NA
2019,0,3,5,NA
2019,0,3,6,NA
2019,0,4,1,NA
2019,0,4,2,NA
2019,0,4,3,NA
2019,0,4,4,NA
2019,0,4,5,NA
2019,0,4,6,NA
2019,0,5,1,NA
2019,0,5,2,NA
2019,0,5,3,NA
2019,0,5,4,NA
2019,0,5,5,NA
2019,0,5,6,NA
2019,0,7,2,NA
2019,0,7,3,NA
2019,0,7,4,NA
2019,0,7,5,NA
2019,0,7,6,NA
2019,0,8,1,NA
2019,0,8,2,NA
2019,0,8,3,NA
2019,0,8,4,NA
2019,0,8,5,NA
2019,0,8,6,NA
2019,0,9,1,NA
2019,0,9,2,NA
2019,0,9,3,NA
2019,0,9,4,NA
2019,0,9,5,NA
2019,0,9,6,NA
2019,0,10,1,NA
2019,0,10,2,NA
2019,0,10,3,NA
2019,0,10,4,NA
2019,0,10,5,NA
2019,0,10,6,NA
2019,0,11,1,NA
2019,0,11,2,NA
2019,0,11,3,NA
2019,0,11,4,NA
2019,0,11,5,NA
2019,0,11,6,NA
2019,0,12,1,NA
2019,0,12,2,NA
2019,0,12,3,NA
2019,0,12,4,NA
2019,0,12,5,NA
2019,0,12,6,NA
2019,1,0,1,NA
2019,1,0,2,NA
2019,1,0,3,NA
2019,1,0,4,NA
2019,1,0,5,NA
2019,1,0,6,NA
2019,1,1,1,NA
2019,1,1,2,NA
2019,1,1,3,NA
2019,1,1,4,NA
2019,1,1,5,NA
2019,1,1,6,NA
2019,1,2,1,NA
2019,1,2,2,NA
2019,1,2,3,NA
2019,1,2,4,NA
2019,1,2,5,NA
2019,1,2,6,NA
2019,1,3,1,NA
2019,1,3,2,NA
2019,1,3,3,NA
2019,1,3,4,NA
2019,1,3,5,NA
2019,1,3,6,NA
2019,1,4,1,NA
2019,1,4,3,NA
2019,1,4,4,NA
2019,1,4,5,NA
2019,1,4,6,NA
2019,1,5,1,NA
2019,1,5,2,NA
2019,1,5,3,NA
2019,1,5,4,NA
2019,1,5,5,NA
2019,1,5,6,NA
2019,1,7,2,NA
2019,1,7,4,NA
2019,1,7,5,NA
2019,1,7,6,NA
2019,1,8,1,NA
2019,1,8,2,NA
2019,1,8,3,NA
2019,1,8,4,NA
2019,1,8,5,NA
2019,1,8,6,NA
2019,1,9,1,NA
2019,1,9,2,NA
2019,1,9,3,NA
2019,1,9,4,NA
2019,1,9,5,NA
2019,1,9,6,NA
2019,1,10,1,NA
2019,1,10,2,NA
2019,1,10,3,NA
2019,1,10,4,NA
2019,1,10,5,NA
2019,1,10,6,NA
2019,1,11,1,NA
2019,1,11,2,NA
2019,1,11,3,NA
2019,1,11,4,NA
2019,1,11,5,NA
2019,1,11,6,NA
2019,1,12,1,NA
2019,1,12,2,NA
2019,1,12,3,NA
2019,1,12,4,NA
2019,1,12,5,NA
2019,1,12,6,NA
2019,2,0,1,NA
2019,2,0,2,NA
2019,2,0,3,NA
2019,2,0,4,NA
2019,2,0,5,NA
2019,2,0,6,NA
2019,2,1,1,NA
2019,2,1,2,NA
2019,2,1,3,NA
2019,2,1,4,NA
2019,2,1,5,NA
2019,2,1,6,NA
2019,2,2,1,NA
2019,2,2,3,NA
2019,2,2,4,NA
2019,2,2,5,NA
2019,2,3,1,NA
2019,2,3,2,NA
2019,2,3,3,NA
2019,2,3,4,NA
2019,2,3,5,NA
2019,2,3,6,NA
2019,2,4,1,NA
2019,2,4,3,NA
2019,2,4,4,NA
2019,2,4,5,NA
2019,2,4,6,NA
2019,2,5,1,NA
2019,2,5,2,NA
2019,2,5,3,NA
2019,2,5,4,NA
2019,2,5,5,NA
2019,2,5,6,NA
2019,2,7,2,NA
2019,2,7,3,NA
2019,2,7,4,NA
2019,2,8,1,NA
2019,2,8,2,NA
2019,2,8,3,NA
2019,2,8,4,NA
2019,2,8,5,NA
2019,2,8,6,NA
2019,2,9,1,NA
2019,2,9,2,NA
2019,2,9,3,NA
2019,2,9,4,NA
2019,2,9,5,NA
2019,2,9,6,NA
2019,2,10,1,NA
2019,2,10,2,NA
2019,2,10,3,NA
2019,2,10,4,NA
2019,2,10,5,NA
2019,2,10,6,NA
2019,2,11,1,NA
2019,2,11,2,NA
2019,2,11,3,NA
2019,2,11,4,NA
2019,2,11,5,NA
2019,2,11,6,NA
2019,2,12,1,NA
2019,2,12,2,NA
2019,2,12,3,NA
2019,2,12,4,NA
2019,2,12,5,NA
2019,2,12,6,NA
2019,3,0,1,NA
2019,3,0,2,NA
2019,3,0,3,NA
2019,3,0,4,NA
2019,3,0,5,NA
2019,3,0,6,NA
2019,3,1,1,NA
2019,3,1,2,NA
2019,3,1,3,NA
2019,3,1,4,NA
2019,3,1,5,NA
2019,3,1,6,NA
2019,3,2,3,NA
2019,3,2,4,NA
2019,3,2,5,NA
2019,3,3,1,NA
2019,3,3,2,NA
2019,3,3,3,NA
2019,3,3,4,NA
2019,3,3,5,NA
2019,3,3,6,NA
2019,3,4,1,NA
2019,3,4,2,NA
2019,3,4,3,NA
2019,3,4,4,NA
2019,3,4,5,NA
2019,3,4,6,NA
2019,3,5,1,NA
2019,3,5,2,NA
2019,3,5,3,NA
2019,3,5,4,NA
2019,3,5,5,NA
2019,3,5,6,NA
2019,3,7,2,NA
2019,3,7,5,NA
2019,3,7,6,NA
2019,3,8,1,NA
2019,3,8,2,NA
2019,3,8,3,NA
2019,3,8,4,NA
2019,3,8,5,NA
2019,3,8,6,NA
2019,3,9,1,NA
2019,3,9,2,NA
2019,3,9,3,NA
2019,3,9,4,NA
2019,3,9,5,NA
2019,3,9,6,NA
2019,3,10,1,NA
2019,3,10,2,NA
2019,3,10,3,NA
2019,3,10,4,NA
2019,3,10,5,NA
2019,3,10,6,NA
2019,3,11,1,NA
2019,3,11,2,NA
2019,3,11,3,NA
2019,3,11,4,NA
2019,3,11,5,NA
2019,3,11,6,NA
2019,3,12,1,NA
2019,3,12,2,NA
2019,3,12,3,NA
2019,3,12,4,NA
2019,3,12,5,NA
2019,3,12,6,NA
2019,4,0,1,NA
2019,4,0,2,NA
2019,4,0,3,NA
2019,4,0,4,NA
2019,4,0,5,NA
2019,4,0,6,NA
2019,4,1,1,NA
2019,4,1,2,NA
2019,4,1,3,NA
2019,4,1,5,NA
2019,4,1,6,NA
2019,4,2,3,NA
2019,4,2,4,NA
2019,4,2,5,NA
2019,4,2,6,NA
2019,4,3,1,NA
2019,4,3,2,NA
2019,4,3,3,NA
2019,4,3,4,NA
2019,4,3,5,NA
2019,4,3,6,NA
2019,4,4,1,NA
2019,4,4,4,NA
2019,4,4,5,NA
2019,4,4,6,NA
2019,4,5,1,NA
2019,4,5,2,NA
2019,4,5,3,NA
2019,4,5,4,NA
2019,4,5,5,NA
2019,4,5,6,NA
2019,4,7,3,NA
2019,4,7,4,NA
2019,4,7,6,NA
2019,4,8,1,NA
2019,4,8,2,NA
2019,4,8,3,NA
2019,4,8,4,NA
2019,4,8,5,NA
2019,4,8,6,NA
2019,4,9,1,NA
2019,4,9,2,NA
2019,4,9,3,NA
2019,4,9,4,NA
2019,4,9,5,NA
2019,4,9,6,NA
2019,4,10,1,NA
2019,4,10,2,NA
2019,4,10,3,NA
2019,4,10,4,NA
2019,4,10,5,NA
2019,4,10,6,NA
2019,4,11,1,NA
2019,4,11,2,NA
2019,4,11,3,NA
2019,4,11,4,NA
2019,4,11,5,NA
2019,4,11,6,NA
2019,4,12,1,NA
2019,4,12,2,NA
2019,4,12,3,NA
2019,4,12,4,NA
2019,4,12,5,NA
2019,4,12,6,NA
2018,0,0,1,4.46882075063434
2018,0,0,2,3.23164011086024
2018,0,0,3,2.90542848642236
2018,0,0,4,2.00421523203576
2018,0,0,5,3.98279373103766
2018,0,0,6,4.39281420979901
2018,0,1,1,4.91955856933918
2018,0,1,2,8.86499055369859
2018,0,1,3,10.4734576757532
2018,0,1,4,3.15512708150745
2018,0,1,5,4.96780128794848
2018,0,1,6,6.93096756307181
2018,0,2,1,0.927858965437254
2018,0,2,3,0.547345374931582
2018,0,2,4,0.365358769262889
2018,0,2,5,0.894146777632575
2018,0,2,6,0.867052023121387
2018,0,3,1,5.49450549450549
2018,0,3,2,5.86963237565647
2018,0,3,3,4.53298341882381
2018,0,3,4,4.88524757009821
2018,0,3,5,7.28168054900728
2018,0,3,6,12.9657228017884
2018,0,4,1,2.98730395817774
2018,0,4,2,5.24475524475525
2018,0,4,3,6.82982356289129
2018,0,4,4,5.73488448304113
2018,0,4,5,3.25262016624503
2018,0,4,6,4.07166123778502
2018,0,5,1,3.75877181190009
2018,0,5,2,2.88329407145662
2018,0,5,3,2.62465911142117
2018,0,5,4,1.63246183296914
2018,0,5,5,3.09720858465423
2018,0,5,6,4.04761458079283
2018,0,6,6,NA
2018,0,7,2,NA
2018,0,7,3,NA
2018,0,7,4,NA
2018,0,7,5,NA
2018,0,7,6,NA
2018,0,8,1,14.4739283726109
2018,0,8,2,5.79091740323072
2018,0,8,3,4.28713151927438
2018,0,8,4,3.48971746351659
2018,0,8,5,7.09705392391776
2018,0,8,6,5.88300588300588
2018,0,9,1,4.01613824358431
2018,0,9,2,2.94789081885856
2018,0,9,3,2.36334527712129
2018,0,9,4,2.51810311972559
2018,0,9,5,3.88319353836595
2018,0,9,6,4.3681105063349
2018,0,10,1,8.7940234791889
2018,0,10,2,7.9853070350555
2018,0,10,3,3.88116159029119
2018,0,10,4,1.83762498552291
2018,0,10,5,5.46373678745894
2018,0,10,6,4.94015788133435
2018,0,11,1,3.91118295243799
2018,0,11,2,2.78206679742381
2018,0,11,3,2.71057928598773
2018,0,11,4,1.39231165504086
2018,0,11,5,2.98895386614685
2018,0,11,6,4.03535418639974
2018,0,12,1,6.21310966138552
2018,0,12,2,6.36205899363794
2018,0,12,3,3.82598838033159
2018,0,12,4,5.23705284158608
2018,0,12,5,7.52060646170507
2018,0,12,6,11.804686102665
2018,1,0,1,9.32778026365608
2018,1,0,2,5.80594960196325
2018,1,0,3,5.81175836030205
2018,1,0,4,3.45113629249358
2018,1,0,5,6.6159227574642
2018,1,0,6,7.84805694946902
2018,1,1,1,10.161662817552
2018,1,1,2,9.50782997762864
2018,1,1,3,26.2593783494105
2018,1,1,4,2.62295081967213
2018,1,1,5,9.19842312746386
2018,1,1,6,11.41670991178
2018,1,2,1,1.87265917602996
2018,1,2,3,0.850340136054422
2018,1,2,4,0.731528895391368
2018,1,2,6,1.7174753112924
2018,1,3,1,15.639374425023
2018,1,3,2,13.2450331125828
2018,1,3,3,8.74751491053678
2018,1,3,4,7.66871165644172
2018,1,3,5,10.6168771737141
2018,1,3,6,15.3949129852744
2018,1,4,1,7.5187969924812
2018,1,4,2,7.63358778625954
2018,1,4,3,8.52878464818763
2018,1,4,4,7.59345794392523
2018,1,4,5,8.41852074564041
2018,1,4,6,8.62068965517241
2018,1,5,1,7.73286467486819
2018,1,5,2,5.18503223438181
2018,1,5,3,5.38616199066645
2018,1,5,4,2.88371715202469
2018,1,5,5,4.76276240219327
2018,1,5,6,7.46599645180367
2018,1,7,2,NA
2018,1,7,4,NA
2018,1,7,5,NA
2018,1,7,6,NA
2018,1,8,1,26.8214571657326
2018,1,8,2,12.4524386025597
2018,1,8,3,7.27707179320083
2018,1,8,4,5.75425928015345
2018,1,8,5,12.7862863566109
2018,1,8,6,6.18582209575653
2018,1,9,1,6.9060773480663
2018,1,9,2,5.19948698395092
2018,1,9,3,4.04164115125536
2018,1,9,4,3.50637133327632
2018,1,9,5,4.88719287674901
2018,1,9,6,6.38055450056969
2018,1,10,1,18.491124260355
2018,1,10,2,14.0586797066015
2018,1,10,3,7.40187423604509
2018,1,10,4,3.07986955846576
2018,1,10,5,10.3086779266162
2018,1,10,6,8.25335892514395
2018,1,11,1,8.66851595006935
2018,1,11,2,6.15279439412066
2018,1,11,3,5.79936158288457
2018,1,11,4,2.76317442089965
2018,1,11,5,4.99911631782261
2018,1,11,6,7.53613921304437
2018,1,12,1,11.3350125944584
2018,1,12,2,6.88073394495413
2018,1,12,3,8.25643516270034
2018,1,12,4,8.57769798523838
2018,1,12,5,11.703511053316
2018,1,12,6,24.0756663800516
2018,2,0,1,3.89003727274207
2018,2,0,2,2.66591570449639
2018,2,0,3,2.28212250433603
2018,2,0,4,1.53054882217664
2018,2,0,5,2.76009614114788
2018,2,0,6,4.04127488751785
2018,2,1,1,6.23501199040767
2018,2,1,2,9.1478093403948
2018,2,1,3,9.42408376963351
2018,2,1,4,2.58899676375405
2018,2,1,5,4.43318556048132
2018,2,1,6,10.6436898124683
2018,2,2,3,0.626664577784741
2018,2,2,4,0.0894854586129754
2018,2,2,5,0.928936367858802
2018,2,2,6,0.337268128161889
2018,2,3,1,4.98753117206983
2018,2,3,2,4.57142857142857
2018,2,3,3,4.22654268808115
2018,2,3,4,3.8140210679259
2018,2,3,5,6.14085588178852
2018,2,3,6,12.3943661971831
2018,2,4,3,7.67754318618042
2018,2,4,4,6.06796116504854
2018,2,4,5,2.62639527248851
2018,2,4,6,6.09756097560976
2018,2,5,1,3.18017115102922
2018,2,5,2,2.35843953523595
2018,2,5,3,1.97231773515089
2018,2,5,4,1.23781727211133
2018,2,5,5,2.36172028499415
2018,2,5,6,3.69283690813436
2018,2,7,4,NA
2018,2,7,5,NA
2018,2,7,6,NA
2018,2,8,1,11.8867516749514
2018,2,8,2,2.73504273504274
2018,2,8,3,2.92718624222466
2018,2,8,4,2.27169468423444
2018,2,8,5,3.85462555066079
2018,2,8,6,5.44127405441274
2018,2,9,1,4.90320937340805
2018,2,9,2,2.20097668340326
2018,2,9,3,1.7853726965504
2018,2,9,4,1.96005226806048
2018,2,9,5,3.16957210776545
2018,2,9,6,2.82974375098255
2018,2,10,1,6.88725857164246
2018,2,10,2,5.80474934036939
2018,2,10,3,2.596692633593
2018,2,10,4,1.47358268138463
2018,2,10,5,2.4555659494855
2018,2,10,6,4.94913390156723
2018,2,11,1,3.22639876190226
2018,2,11,2,2.25892274484213
2018,2,11,3,1.93698056262528
2018,2,11,4,1.08619364326059
2018,2,11,5,2.22826220034771
2018,2,11,6,3.74539458953325
2018,2,12,1,4.36205016357688
2018,2,12,2,6.41025641025641
2018,2,12,3,3.06278713629403
2018,2,12,4,4.15183867141162
2018,2,12,5,7.29120636323464
2018,2,12,6,20.6043956043956
2018,3,0,1,2.71330975337952
2018,3,0,2,2.23243846604991
2018,3,0,3,1.71814646875686
2018,3,0,4,1.57823961864577
2018,3,0,5,3.15957908440009
2018,3,0,6,3.06317481614622
2018,3,1,1,1.45843461351483
2018,3,1,2,7.89733464955577
2018,3,1,3,4.91159135559921
2018,3,1,4,0.640614990390775
2018,3,1,5,1.35777325186694
2018,3,1,6,8.91600187705303
2018,3,2,1,0.885739592559787
2018,3,2,3,0.81406707912732
2018,3,2,4,0.0497092011731372
2018,3,2,5,1.44473874307729
2018,3,2,6,0.627155848228285
2018,3,3,1,1.76211453744493
2018,3,3,2,3.31858407079646
2018,3,3,3,3.07152259763054
2018,3,3,4,3.7233547426231
2018,3,3,5,6.35514018691589
2018,3,3,6,11.0153256704981
2018,3,4,1,2.58397932816537
2018,3,4,3,2.15982721382289
2018,3,4,4,2.96912114014252
2018,3,4,5,2.72479564032698
2018,3,4,6,3.90117035110533
2018,3,5,1,2.07762772688639
2018,3,5,2,2.0153426082434
2018,3,5,3,1.65381305162259
2018,3,5,4,1.31704200190384
2018,3,5,5,2.56775461894923
2018,3,5,6,2.4978657476207
2018,3,6,6,NA
2018,3,7,4,NA
2018,3,7,6,NA
2018,3,8,1,8.72847369662656
2018,3,8,2,3.76222723852521
2018,3,8,3,1.93932677656185
2018,3,8,4,3.28431738448906
2018,3,8,5,4.89296636085627
2018,3,8,6,6.62690523525514
2018,3,9,1,3.15241228070175
2018,3,9,2,2.23584565452578
2018,3,9,3,1.68535209203488
2018,3,9,4,2.35357047338861
2018,3,9,5,3.35718703065642
2018,3,9,6,4.77978832365995
2018,3,10,1,5.88235294117647
2018,3,10,2,4.57796852646638
2018,3,10,3,1.37095028501335
2018,3,10,4,1.60199359202563
2018,3,10,5,3.70068368563006
2018,3,10,6,3.52233676975945
2018,3,11,1,2.04315542931181
2018,3,11,2,1.56213017751479
2018,3,11,3,1.62710167299428
2018,3,11,4,0.985810788971848
2018,3,11,5,2.22802520303778
2018,3,11,6,2.39625515473493
2018,3,12,1,3.40522133938706
2018,3,12,2,2.02429149797571
2018,3,12,3,4.08371618172537
2018,3,12,4,3.63416111447608
2018,3,12,5,6.75390460109751
2018,3,12,6,9.47603121516165
2018,4,0,1,1.73519823325271
2018,4,0,2,2.28407348190688
2018,4,0,3,1.45487610820641
2018,4,0,4,0.974883217114616
2018,4,0,5,2.7664210345925
2018,4,0,6,2.52078542366885
2018,4,1,2,10.183299389002
2018,4,1,3,3.47523892267593
2018,4,1,4,5.59179869524697
2018,4,1,5,4.66200466200466
2018,4,1,6,5.1413881748072
2018,4,2,3,0.569151963574274
2018,4,2,4,0.406603236561763
2018,4,2,5,2.30414746543779
2018,4,2,6,2.12426978226235
2018,4,3,2,5.51470588235294
2018,4,3,3,2.47116968698517
2018,4,3,4,3.09453814018258
2018,4,3,5,5.22363695723147
2018,4,3,6,9.71599402092676
2018,4,4,2,9.52380952380953
2018,4,4,4,1.89035916824197
2018,4,4,5,2.28310502283105
2018,4,4,6,11.4678899082569
2018,4,5,1,1.89307196726817
2018,4,5,2,2.10728677585123
