"date","followup","ageEntry","ethnicity_cd","geog","datacol"
2000,12,0,0,1,58
2000,24,0,0,1,67
2000,12,0,1,1,44
2000,24,0,1,1,53
2000,12,0,2,1,70
2000,24,0,2,1,70
2000,12,0,3,1,55
2000,24,0,3,1,60
2000,12,0,4,1,56
2000,24,0,4,1,56
2000,12,0,5,1,59
2000,24,0,5,1,68
2000,12,0,6,1,67
2000,24,0,6,1,75
2000,12,0,7,1,80
2000,24,0,7,1,80
2000,12,0,8,1,56
2000,24,0,8,1,64
2000,12,0,9,1,69
2000,24,0,9,1,74
2000,12,0,10,1,51
2000,24,0,10,1,59
2000,12,0,11,1,58
2000,24,0,11,1,68
2000,12,0,12,1,56
2000,24,0,12,1,61
2000,12,1,0,1,33
2000,24,1,0,1,44
2000,12,1,1,1,22
2000,24,1,1,1,47
2000,12,1,3,1,26
2000,24,1,3,1,26
2000,12,1,4,1,100
2000,24,1,4,1,100
2000,12,1,5,1,32
2000,24,1,5,1,42
2000,12,1,6,1,59
2000,24,1,6,1,67
2000,12,1,7,1,33
2000,24,1,7,1,33
2000,12,1,8,1,70
2000,24,1,8,1,100
2000,12,1,9,1,55
2000,24,1,9,1,69
2000,12,1,10,1,33
2000,24,1,10,1,57
2000,12,1,11,1,29
2000,24,1,11,1,39
2000,12,1,12,1,26
2000,24,1,12,1,26
2000,12,2,0,1,52
2000,24,2,0,1,57
2000,12,2,1,1,28
2000,24,2,1,1,28
2000,12,2,2,1,100
2000,24,2,2,1,100
2000,12,2,3,1,NA
2000,24,2,3,1,NA
2000,12,2,5,1,53
2000,24,2,5,1,59
2000,12,2,8,1,80
2000,24,2,8,1,80
2000,12,2,9,1,100
2000,24,2,9,1,100
2000,12,2,10,1,49
2000,24,2,10,1,49
2000,12,2,11,1,39
2000,24,2,11,1,46
2000,12,2,12,1,NA
2000,24,2,12,1,NA
2000,12,3,0,1,42
2000,24,3,0,1,58
2000,12,3,1,1,NA
2000,24,3,1,1,NA
2000,12,3,3,1,NA
2000,24,3,3,1,NA
2000,12,3,5,1,40
2000,24,3,5,1,57
2000,12,3,6,1,NA
2000,24,3,6,1,NA
2000,12,3,8,1,25
2000,24,3,8,1,38
2000,12,3,9,1,NA
2000,24,3,9,1,NA
2000,12,3,10,1,NA
2000,24,3,10,1,NA
2000,12,3,11,1,40
2000,24,3,11,1,58
2000,12,3,12,1,NA
2000,24,3,12,1,NA
2000,12,4,0,1,47
2000,24,4,0,1,66
2000,12,4,1,1,78
2000,24,4,1,1,78
2000,12,4,2,1,NA
2000,24,4,2,1,NA
2000,12,4,3,1,NA
2000,24,4,3,1,NA
2000,12,4,5,1,43
2000,24,4,5,1,62
2000,12,4,6,1,50
2000,24,4,6,1,75
2000,12,4,8,1,NA
2000,24,4,8,1,NA
2000,12,4,9,1,NA
2000,24,4,9,1,NA
2000,12,4,10,1,NA
2000,24,4,10,1,NA
2000,12,4,11,1,NA
2000,24,4,11,1,NA
2000,12,4,12,1,NA
2000,24,4,12,1,NA
2000,12,0,0,2,61
2000,24,0,0,2,70
2000,12,0,1,2,45
2000,24,0,1,2,50
2000,12,0,2,2,83
2000,24,0,2,2,83
2000,12,0,3,2,54
2000,24,0,3,2,57
2000,12,0,4,2,100
2000,24,0,4,2,100
2000,12,0,5,2,61
2000,24,0,5,2,72
2000,12,0,6,2,77
2000,24,0,6,2,83
2000,12,0,7,2,52
2000,24,0,7,2,58
2000,12,0,8,2,74
2000,24,0,8,2,78
2000,12,0,9,2,70
2000,24,0,9,2,78
2000,12,0,10,2,45
2000,24,0,10,2,51
2000,12,0,11,2,59
2000,24,0,11,2,70
2000,12,0,12,2,67
2000,24,0,12,2,67
2000,12,1,0,2,43
2000,24,1,0,2,53
2000,12,1,1,2,29
2000,24,1,1,2,36
2000,12,1,2,2,100
2000,24,1,2,2,100
2000,12,1,3,2,50
2000,24,1,3,2,50
2000,12,1,5,2,46
2000,24,1,5,2,63
2000,12,1,6,2,48
2000,24,1,6,2,48
2000,12,1,7,2,35
2000,24,1,7,2,35
2000,12,1,8,2,67
2000,24,1,8,2,67
2000,12,1,9,2,52
2000,24,1,9,2,59
2000,12,1,10,2,34
2000,24,1,10,2,38
2000,12,1,11,2,43
2000,24,1,11,2,61
2000,12,1,12,2,50
2000,24,1,12,2,50
2000,12,2,0,2,48
2000,24,2,0,2,69
2000,12,2,1,2,67
2000,24,2,1,2,67
2000,12,2,3,2,100
2000,24,2,3,2,100
2000,12,2,5,2,43
2000,24,2,5,2,69
2000,12,2,6,2,100
2000,24,2,6,2,100
2000,12,2,7,2,0
2000,24,2,7,2,100
2000,12,2,9,2,55
2000,24,2,9,2,64
2000,12,2,10,2,57
2000,24,2,10,2,71
2000,12,2,11,2,46
2000,24,2,11,2,73
2000,12,2,12,2,100
2000,24,2,12,2,100
2000,12,3,0,2,47
2000,24,3,0,2,60
2000,12,3,1,2,43
2000,24,3,1,2,43
2000,12,3,2,2,NA
2000,24,3,2,2,NA
2000,12,3,5,2,43
2000,24,3,5,2,61
2000,12,3,6,2,NA
2000,24,3,6,2,NA
2000,12,3,7,2,NA
2000,24,3,7,2,NA
2000,12,3,8,2,NA
2000,24,3,8,2,NA
2000,12,3,9,2,68
2000,24,3,9,2,78
2000,12,3,10,2,38
2000,24,3,10,2,38
2000,12,3,11,2,30
2000,24,3,11,2,52
2000,12,4,0,2,52
2000,24,4,0,2,71
2000,12,4,1,2,NA
2000,24,4,1,2,NA
2000,12,4,3,2,100
2000,24,4,3,2,100
2000,12,4,5,2,45
2000,24,4,5,2,69
2000,12,4,6,2,NA
2000,24,4,6,2,NA
2000,12,4,7,2,NA
2000,24,4,7,2,NA
2000,12,4,9,2,79
2000,24,4,9,2,89
2000,12,4,10,2,NA
2000,24,4,10,2,NA
2000,12,4,11,2,37
2000,24,4,11,2,62
2000,12,4,12,2,100
2000,24,4,12,2,100
2000,12,0,0,3,49
2000,24,0,0,3,60
2000,12,0,1,3,24
2000,24,0,1,3,34
2000,12,0,2,3,70
2000,24,0,2,3,86
2000,12,0,3,3,42
2000,24,0,3,3,54
2000,12,0,4,3,67
2000,24,0,4,3,67
2000,12,0,5,3,50
2000,24,0,5,3,60
2000,12,0,6,3,91
2000,24,0,6,3,91
2000,12,0,7,3,83
2000,24,0,7,3,83
2000,12,0,8,3,46
2000,24,0,8,3,61
2000,12,0,9,3,64
2000,24,0,9,3,69
