"date","ageCensus","ethnicityCensus","geog","datacol"
2019,0,0,1,7569
2019,0,0,2,4549
2019,0,0,3,51050
2019,0,0,4,18082
2019,0,0,5,12944
2019,0,0,6,113372
2019,0,0,7,767
2019,0,0,8,24171
2019,0,0,9,10629
2019,0,0,10,1414
2019,0,0,11,30231
2019,0,0,12,442
2019,0,0,13,28617
2019,0,0,14,15019
2019,0,0,15,16252
2019,0,0,16,4009
2019,0,0,17,454542
2019,0,0,18,55851
2019,0,0,19,9072
2019,0,0,20,4317
2019,0,0,21,16974
2019,0,0,22,2248
2019,0,0,23,12381
2019,0,0,24,9725
2019,0,0,25,3655
2019,0,0,26,2535
2019,0,0,27,210796
2019,0,0,28,2194
2019,0,0,29,27940
2019,0,0,30,2289
2019,0,0,31,181515
2019,0,0,32,115821
2019,0,0,33,9271
2019,0,0,34,61566
2019,0,0,35,647
2019,0,0,36,13692
2019,0,0,37,44348
2019,0,0,38,8619
2019,0,0,39,77773
2019,0,1,1,454
2019,0,1,2,114
2019,0,1,3,700
2019,0,1,4,471
2019,0,1,5,1276
2019,0,1,6,1296
2019,0,1,7,18
2019,0,1,8,597
2019,0,1,9,267
2019,0,1,10,340
2019,0,1,11,298
2019,0,1,12,2
2019,0,1,13,592
2019,0,1,14,1156
2019,0,1,15,167
2019,0,1,16,213
2019,0,1,17,5705
2019,0,1,18,1262
2019,0,1,19,123
2019,0,1,20,113
2019,0,1,21,391
2019,0,1,22,50
2019,0,1,23,855
2019,0,1,24,1655
2019,0,1,25,162
2019,0,1,26,182
2019,0,1,27,4173
2019,0,1,28,31
2019,0,1,29,1197
2019,0,1,30,50
2019,0,1,31,3518
2019,0,1,32,2559
2019,0,1,33,727
2019,0,1,34,1200
2019,0,1,35,18
2019,0,1,36,232
2019,0,1,37,2057
2019,0,1,38,108
2019,0,1,39,5397
2019,0,2,1,101
2019,0,2,2,39
2019,0,2,3,1421
2019,0,2,4,217
2019,0,2,5,201
2019,0,2,6,5341
2019,0,2,7,5
2019,0,2,8,394
2019,0,2,9,90
2019,0,2,10,24
2019,0,2,11,508
2019,0,2,12,6
2019,0,2,13,214
2019,0,2,14,220
2019,0,2,15,794
2019,0,2,16,72
2019,0,2,17,76637
2019,0,2,18,2648
2019,0,2,19,163
2019,0,2,20,32
2019,0,2,21,196
2019,0,2,22,7
2019,0,2,23,142
2019,0,2,24,106
2019,0,2,25,103
2019,0,2,26,15
2019,0,2,27,11891
2019,0,2,28,41
2019,0,2,29,569
2019,0,2,30,17
2019,0,2,31,18714
2019,0,2,32,2777
2019,0,2,33,56
2019,0,2,34,3690
2019,0,2,35,4
2019,0,2,36,153
2019,0,2,37,1806
2019,0,2,38,659
2019,0,2,39,1059
2019,0,3,1,197
2019,0,3,2,58
2019,0,3,3,1098
2019,0,3,4,161
2019,0,3,5,142
2019,0,3,6,3226
2019,0,3,7,3
2019,0,3,8,292
2019,0,3,9,63
2019,0,3,10,16
2019,0,3,11,577
2019,0,3,12,0
2019,0,3,13,614
2019,0,3,14,187
2019,0,3,15,619
2019,0,3,16,73
2019,0,3,17,39302
2019,0,3,18,1817
2019,0,3,19,70
2019,0,3,20,49
2019,0,3,21,177
2019,0,3,22,13
2019,0,3,23,127
2019,0,3,24,94
2019,0,3,25,91
2019,0,3,26,24
2019,0,3,27,17272
2019,0,3,28,29
2019,0,3,29,399
2019,0,3,30,26
2019,0,3,31,6620
2019,0,3,32,2691
2019,0,3,33,61
2019,0,3,34,2360
2019,0,3,35,9
2019,0,3,36,189
2019,0,3,37,716
2019,0,3,38,194
2019,0,3,39,1251
2019,0,4,1,6
2019,0,4,2,18
2019,0,4,3,158
2019,0,4,4,46
2019,0,4,5,25
2019,0,4,6,1263
2019,0,4,7,5
2019,0,4,8,116
2019,0,4,9,34
2019,0,4,10,0
2019,0,4,11,166
2019,0,4,12,0
2019,0,4,13,35
2019,0,4,14,48
2019,0,4,15,138
2019,0,4,16,27
2019,0,4,17,6103
2019,0,4,18,768
2019,0,4,19,17
2019,0,4,20,8
2019,0,4,21,55
2019,0,4,22,0
2019,0,4,23,74
2019,0,4,24,55
2019,0,4,25,10
2019,0,4,26,6
2019,0,4,27,4766
2019,0,4,28,1
2019,0,4,29,130
2019,0,4,30,2
2019,0,4,31,1314
2019,0,4,32,1098
2019,0,4,33,32
2019,0,4,34,835
2019,0,4,35,1
2019,0,4,36,44
2019,0,4,37,174
2019,0,4,38,9
2019,0,4,39,174
2019,0,5,1,6695
2019,0,5,2,3993
2019,0,5,3,44594
2019,0,5,4,16441
2019,0,5,5,9847
2019,0,5,6,91481
2019,0,5,7,682
2019,0,5,8,20924
2019,0,5,9,9709
2019,0,5,10,875
2019,0,5,11,27443
2019,0,5,12,413
2019,0,5,13,26033
2019,0,5,14,12098
2019,0,5,15,12367
2019,0,5,16,3264
2019,0,5,17,273207
2019,0,5,18,40616
2019,0,5,19,8233
2019,0,5,20,3837
2019,0,5,21,14902
2019,0,5,22,2072
2019,0,5,23,9954
2019,0,5,24,7158
2019,0,5,25,2966
2019,0,5,26,2138
2019,0,5,27,137609
2019,0,5,28,1944
2019,0,5,29,23812
2019,0,5,30,2044
2019,0,5,31,131015
2019,0,5,32,95682
2019,0,5,33,7700
2019,0,5,34,45177
2019,0,5,35,555
2019,0,5,36,12349
2019,0,5,37,35841
2019,0,5,38,7056
2019,0,5,39,65870
2019,0,8,1,114
2019,0,8,2,324
2019,0,8,3,3076
2019,0,8,4,743
2019,0,8,5,1450
2019,0,8,6,10762
2019,0,8,7,51
2019,0,8,8,1846
2019,0,8,9,463
2019,0,8,10,157
2019,0,8,11,1236
2019,0,8,12,20
2019,0,8,13,1126
2019,0,8,14,1308
2019,0,8,15,2164
2019,0,8,16,357
2019,0,8,17,53586
2019,0,8,18,8738
2019,0,8,19,464
2019,0,8,20,274
2019,0,8,21,1250
2019,0,8,22,104
2019,0,8,23,1226
2019,0,8,24,654
2019,0,8,25,320
2019,0,8,26,169
2019,0,8,27,35083
2019,0,8,28,146
2019,0,8,29,1831
2019,0,8,30,148
2019,0,8,31,20331
2019,0,8,32,11011
2019,0,8,33,691
2019,0,8,34,8302
2019,0,8,35,58
2019,0,8,36,722
2019,0,8,37,3752
2019,0,8,38,591
2019,0,8,39,4020
2019,0,9,1,5987
2019,0,9,2,371
2019,0,9,3,18002
2019,0,9,4,9141
2019,0,9,5,1831
2019,0,9,6,17389
2019,0,9,7,113
2019,0,9,8,4452
2019,0,9,9,5540
2019,0,9,10,103
2019,0,9,11,20947
2019,0,9,12,34
2019,0,9,13,16988
2019,0,9,14,3161
2019,0,9,15,2179
2019,0,9,16,351
2019,0,9,17,73468
2019,0,9,18,7154
2019,0,9,19,1487
2019,0,9,20,1107
2019,0,9,21,3581
2019,0,9,22,106
2019,0,9,23,2493
2019,0,9,24,3758
2019,0,9,25,876
2019,0,9,26,189
2019,0,9,27,37912
2019,0,9,28,350
2019,0,9,29,10103
2019,0,9,30,273
2019,0,9,31,31948
2019,0,9,32,10752
2019,0,9,33,600
2019,0,9,34,9251
2019,0,9,35,68
2019,0,9,36,5499
2019,0,9,37,7888
2019,0,9,38,712
2019,0,9,39,53595
2019,0,10,1,127
2019,0,10,2,418
2019,0,10,3,4003
2019,0,10,4,841
2019,0,10,5,2392
2019,0,10,6,16107
2019,0,10,7,60
2019,0,10,8,2298
2019,0,10,9,486
2019,0,10,10,492
2019,0,10,11,1190
2019,0,10,12,24
2019,0,10,13,1155
2019,0,10,14,2113
2019,0,10,15,2819
2019,0,10,16,584
2019,0,10,17,129515
2019,0,10,18,11646
2019,0,10,19,625
2019,0,10,20,318
2019,0,10,21,1441
2019,0,10,22,142
2019,0,10,23,1693
2019,0,10,24,1858
2019,0,10,25,474
2019,0,10,26,313
2019,0,10,27,47105
2019,0,10,28,182
2019,0,10,29,2507
2019,0,10,30,179
2019,0,10,31,38850
2019,0,10,32,14999
2019,0,10,33,1347
2019,0,10,34,11931
2019,0,10,35,58
2019,0,10,36,844
2019,0,10,37,6400
2019,0,10,38,1223
2019,0,10,39,5483
2019,0,11,1,1395
2019,0,11,2,3703
2019,0,11,3,28284
2019,0,11,4,8005
2019,0,11,5,8616
2019,0,11,6,77168
2019,0,11,7,590
2019,0,11,8,17198
2019,0,11,9,4578
2019,0,11,10,811
2019,0,11,11,7762
2019,0,11,12,383
2019,0,11,13,10262
2019,0,11,14,9588
2019,0,11,15,10732
2019,0,11,16,3008
2019,0,11,17,215469
2019,0,11,18,35427
2019,0,11,19,6899
2019,0,11,20,2863
2019,0,11,21,11810
2019,0,11,22,1986
2019,0,11,23,8111
2019,0,11,24,4045
2019,0,11,25,2262
2019,0,11,26,2009
2019,0,11,27,110778
2019,0,11,28,1640
2019,0,11,29,15087
2019,0,11,30,1812
2019,0,11,31,104972
2019,0,11,32,87644
2019,0,11,33,7265
2019,0,11,34,38335
2019,0,11,35,515
2019,0,11,36,7224
2019,0,11,37,29527
2019,0,11,38,6491
2019,0,11,39,18267
2019,0,12,1,59
2019,0,12,2,56
2019,0,12,3,760
2019,0,12,4,94
2019,0,12,5,104
2019,0,12,6,2707
2019,0,12,7,3
2019,0,12,8,221
2019,0,12,9,24
2019,0,12,10,6
2019,0,12,11,330
2019,0,12,12,0
2019,0,12,13,210
2019,0,12,14,156
2019,0,12,15,520
2019,0,12,16,64
2019,0,12,17,36089
2019,0,12,18,1622
2019,0,12,19,59
2019,0,12,20,27
2019,0,12,21,141
2019,0,12,22,13
2019,0,12,23,82
2019,0,12,24,62
2019,0,12,25,41
2019,0,12,26,23
2019,0,12,27,14999
2019,0,12,28,20
2019,0,12,29,241
2019,0,12,30,23
2019,0,12,31,5743
2019,0,12,32,2424
2019,0,12,33,57
2019,0,12,34,2048
2019,0,12,35,4
2019,0,12,36,124
2019,0,12,37,533
2019,0,12,38,191
2019,0,12,39,426
2019,1,0,1,2041
2019,1,0,2,1205
2019,1,0,3,13636
2019,1,0,4,4729
2019,1,0,5,3430
2019,1,0,6,28562
2019,1,0,7,199
2019,1,0,8,6318
2019,1,0,9,2720
2019,1,0,10,363
2019,1,0,11,8290
2019,1,0,12,116
2019,1,0,13,7761
2019,1,0,14,3909
2019,1,0,15,5464
2019,1,0,16,960
2019,1,0,17,127784
2019,1,0,18,16147
2019,1,0,19,2215
2019,1,0,20,1103
2019,1,0,21,4509
2019,1,0,22,527
2019,1,0,23,3250
2019,1,0,24,2653
2019,1,0,25,973
2019,1,0,26,627
2019,1,0,27,60184
2019,1,0,28,460
2019,1,0,29,7360
2019,1,0,30,526
2019,1,0,31,49233
2019,1,0,32,30934
2019,1,0,33,2253
2019,1,0,34,15966
2019,1,0,35,149
2019,1,0,36,3434
2019,1,0,37,11643
2019,1,0,38,2177
2019,1,0,39,21244
2019,1,1,1,155
2019,1,1,2,29
2019,1,1,3,162
2019,1,1,4,120
2019,1,1,5,405
2019,1,1,6,316
2019,1,1,7,3
2019,1,1,8,153
2019,1,1,9,58
2019,1,1,10,119
2019,1,1,11,70
2019,1,1,12,0
2019,1,1,13,181
2019,1,1,14,318
2019,1,1,15,48
2019,1,1,16,56
2019,1,1,17,1525
2019,1,1,18,380
2019,1,1,19,24
2019,1,1,20,34
2019,1,1,21,85
2019,1,1,22,12
2019,1,1,23,221
2019,1,1,24,492
2019,1,1,25,30
2019,1,1,26,45
2019,1,1,27,1142
2019,1,1,28,7
2019,1,1,29,318
2019,1,1,30,6
2019,1,1,31,946
2019,1,1,32,693
2019,1,1,33,233
2019,1,1,34,334
2019,1,1,35,3
2019,1,1,36,54
2019,1,1,37,547
2019,1,1,38,28
2019,1,1,39,1441
2019,1,2,1,20
2019,1,2,2,9
2019,1,2,3,355
2019,1,2,4,52
2019,1,2,5,40
2019,1,2,6,1237
2019,1,2,7,4
2019,1,2,8,83
2019,1,2,9,21
2019,1,2,10,10
2019,1,2,11,128
2019,1,2,12,4
2019,1,2,13,58
2019,1,2,14,52
2019,1,2,15,231
2019,1,2,16,14
2019,1,2,17,21872
2019,1,2,18,600
2019,1,2,19,31
2019,1,2,20,4
2019,1,2,21,39
2019,1,2,22,1
2019,1,2,23,28
2019,1,2,24,27
2019,1,2,25,27
2019,1,2,26,3
2019,1,2,27,2872
2019,1,2,28,4
2019,1,2,29,129
2019,1,2,30,4
2019,1,2,31,5057
2019,1,2,32,639
2019,1,2,33,15
2019,1,2,34,804
2019,1,2,35,1
2019,1,2,36,32
2019,1,2,37,459
2019,1,2,38,209
2019,1,2,39,249
2019,1,3,1,44
2019,1,3,2,5
2019,1,3,3,300
2019,1,3,4,39
2019,1,3,5,39
2019,1,3,6,702
2019,1,3,7,0
2019,1,3,8,81
2019,1,3,9,19
2019,1,3,10,3
2019,1,3,11,136
2019,1,3,12,0
2019,1,3,13,161
2019,1,3,14,35
2019,1,3,15,217
2019,1,3,16,18
2019,1,3,17,11084
2019,1,3,18,575
2019,1,3,19,16
2019,1,3,20,20
2019,1,3,21,30
2019,1,3,22,2
2019,1,3,23,33
2019,1,3,24,28
2019,1,3,25,31
2019,1,3,26,9
2019,1,3,27,4888
2019,1,3,28,8
2019,1,3,29,99
2019,1,3,30,3
2019,1,3,31,1992
2019,1,3,32,712
2019,1,3,33,16
2019,1,3,34,521
2019,1,3,35,1
2019,1,3,36,51
2019,1,3,37,199
2019,1,3,38,49
2019,1,3,39,383
2019,1,4,1,0
2019,1,4,2,1
2019,1,4,3,26
2019,1,4,4,17
2019,1,4,5,8
2019,1,4,6,296
2019,1,4,7,2
2019,1,4,8,30
2019,1,4,9,6
2019,1,4,10,0
2019,1,4,11,46
2019,1,4,12,0
2019,1,4,13,9
2019,1,4,14,13
2019,1,4,15,38
2019,1,4,16,7
2019,1,4,17,1712
2019,1,4,18,203
2019,1,4,19,5
2019,1,4,20,0
2019,1,4,21,14
2019,1,4,22,0
2019,1,4,23,25
2019,1,4,24,12
2019,1,4,25,5
2019,1,4,26,0
2019,1,4,27,1460
2019,1,4,28,0
2019,1,4,29,38
2019,1,4,30,0
2019,1,4,31,366
2019,1,4,32,348
2019,1,4,33,3
2019,1,4,34,182
2019,1,4,35,0
2019,1,4,36,7
2019,1,4,37,27
2019,1,4,38,3
2019,1,4,39,45
2019,1,5,1,1797
2019,1,5,2,1043
2019,1,5,3,11886
2019,1,5,4,4286
2019,1,5,5,2499
2019,1,5,6,22937
2019,1,5,7,175
2019,1,5,8,5420
2019,1,5,9,2489
2019,1,5,10,203
2019,1,5,11,7519
2019,1,5,12,105
2019,1,5,13,7005
2019,1,5,14,3083
2019,1,5,15,4127
2019,1,5,16,772
2019,1,5,17,73863
2019,1,5,18,11455
2019,1,5,19,2005
2019,1,5,20,963
2019,1,5,21,3976
2019,1,5,22,480
2019,1,5,23,2576
2019,1,5,24,1893
2019,1,5,25,793
2019,1,5,26,524
2019,1,5,27,38516
2019,1,5,28,399
2019,1,5,29,6250
2019,1,5,30,467
2019,1,5,31,34189
2019,1,5,32,25047
2019,1,5,33,1797
2019,1,5,34,11462
2019,1,5,35,127
2019,1,5,36,3092
2019,1,5,37,9248
2019,1,5,38,1696
2019,1,5,39,17947
2019,1,8,1,24
2019,1,8,2,116
2019,1,8,3,904
2019,1,8,4,213
2019,1,8,5,435
2019,1,8,6,3072
2019,1,8,7,13
2019,1,8,8,547
2019,1,8,9,123
2019,1,8,10,26
2019,1,8,11,389
2019,1,8,12,6
2019,1,8,13,344
2019,1,8,14,405
2019,1,8,15,801
2019,1,8,16,92
2019,1,8,17,17726
2019,1,8,18,2931
2019,1,8,19,131
2019,1,8,20,80
2019,1,8,21,362
2019,1,8,22,30
2019,1,8,23,366
2019,1,8,24,199
2019,1,8,25,84
2019,1,8,26,44
2019,1,8,27,11303
2019,1,8,28,41
2019,1,8,29,523
2019,1,8,30,43
2019,1,8,31,6681
2019,1,8,32,3493
2019,1,8,33,188
2019,1,8,34,2661
2019,1,8,35,16
2019,1,8,36,197
2019,1,8,37,1161
2019,1,8,38,190
2019,1,8,39,1177
2019,1,9,1,1712
2019,1,9,2,115
2019,1,9,3,5507
2019,1,9,4,2665
2019,1,9,5,556
2019,1,9,6,4978
2019,1,9,7,40
2019,1,9,8,1391
2019,1,9,9,1573
2019,1,9,10,25
2019,1,9,11,5677
2019,1,9,12,4
2019,1,9,13,4889
2019,1,9,14,1010
2019,1,9,15,889
2019,1,9,16,89
2019,1,9,17,23386
2019,1,9,18,2437
2019,1,9,19,458
2019,1,9,20,296
2019,1,9,21,1164
2019,1,9,22,35
2019,1,9,23,842
2019,1,9,24,1156
2019,1,9,25,275
2019,1,9,26,58
2019,1,9,27,12500
2019,1,9,28,112
2019,1,9,29,3006
2019,1,9,30,65
2019,1,9,31,10058
2019,1,9,32,3282
2019,1,9,33,170
2019,1,9,34,2780
2019,1,9,35,15
2019,1,9,36,1553
2019,1,9,37,2265
2019,1,9,38,244
2019,1,9,39,15318
2019,1,10,1,20
2019,1,10,2,140
2019,1,10,3,1053
2019,1,10,4,203
2019,1,10,5,690
