"date","ageCensus","ethnicityCensus","geog","datacol"
2019,0,0,1,219521
2019,0,0,2,186902
2019,0,0,3,272249
2019,0,0,4,454542
2019,0,0,5,266647
2019,0,0,6,267027
2019,0,1,1,7521
2019,0,1,2,6881
2019,0,1,3,6970
2019,0,1,4,5705
2019,0,1,5,5435
2019,0,1,6,7214
2019,0,2,1,4311
2019,0,2,2,3341
2019,0,2,3,21924
2019,0,2,4,76637
2019,0,2,5,14539
2019,0,2,6,10380
2019,0,3,1,4186
2019,0,3,2,3237
2019,0,3,3,8383
2019,0,3,4,39302
2019,0,3,5,19089
2019,0,3,6,6710
2019,0,4,1,1339
2019,0,4,2,572
2019,0,4,3,1757
2019,0,4,4,6103
2019,0,4,5,5534
2019,0,4,6,2456
2019,0,5,1,185965
2019,0,5,2,163008
2019,0,5,3,204979
2019,0,5,4,273207
2019,0,5,5,178225
2019,0,5,6,213212
2019,0,8,1,16167
2019,0,8,2,9843
2019,0,8,3,28224
2019,0,8,4,53586
2019,0,8,5,43821
2019,0,8,6,27027
2019,0,9,1,54281
2019,0,9,2,100750
2019,0,9,3,52468
2019,0,9,4,73468
2019,0,9,5,45066
2019,0,9,6,43726
2019,0,10,1,23425
2019,0,10,2,12523
2019,0,10,3,50758
2019,0,10,4,129515
2019,0,10,5,58751
2019,0,10,6,39270
2019,0,11,1,138577
2019,0,11,2,71889
2019,0,11,3,161958
2019,0,11,4,215469
2019,0,11,5,146205
2019,0,11,6,178423
2019,0,12,1,3219
2019,0,12,2,1729
2019,0,12,3,7057
2019,0,12,4,36089
2019,0,12,5,16621
2019,0,12,6,5591
2019,1,0,1,58106
2019,1,0,2,50121
2019,1,0,3,74160
2019,1,0,4,127784
2019,1,0,5,76331
2019,1,0,6,68552
2019,1,1,1,2165
2019,1,1,2,1788
2019,1,1,3,1866
2019,1,1,4,1525
2019,1,1,5,1522
2019,1,1,6,1927
2019,1,2,1,1068
2019,1,2,2,803
2019,1,2,3,5880
2019,1,2,4,21872
2019,1,2,5,3472
2019,1,2,6,2329
2019,1,3,1,1087
2019,1,3,2,906
2019,1,3,3,2515
2019,1,3,4,11084
2019,1,3,5,5463
2019,1,3,6,1494
2019,1,4,1,399
2019,1,4,2,131
2019,1,4,3,469
2019,1,4,4,1712
2019,1,4,5,1663
2019,1,4,6,580
2019,1,5,1,48365
2019,1,5,2,43587
2019,1,5,3,54213
2019,1,5,4,73863
2019,1,5,5,49971
2019,1,5,6,54112
2019,1,8,1,4996
2019,1,8,2,2891
2019,1,8,3,9207
2019,1,8,4,17726
2019,1,8,5,14234
2019,1,8,6,8083
2019,1,9,1,15928
2019,1,9,2,28849
2019,1,9,3,16330
2019,1,9,4,23386
2019,1,9,5,14937
2019,1,9,6,13165
2019,1,10,1,6760
2019,1,10,2,3272
2019,1,10,3,14726
2019,1,10,4,38638
2019,1,10,5,17170
2019,1,10,6,10420
2019,1,11,1,34608
2019,1,11,2,17553
2019,1,11,3,41039
2019,1,11,4,55733
2019,1,11,5,39607
2019,1,11,6,43789
2019,1,12,1,794
2019,1,12,2,436
2019,1,12,3,2059
2019,1,12,4,10026
2019,1,12,5,4614
2019,1,12,6,1163
2019,2,0,1,61439
2019,2,0,2,53265
2019,2,0,3,76683
2019,2,0,4,128712
2019,2,0,5,75722
2019,2,0,6,74234
2019,2,1,1,2085
2019,2,1,2,2077
2019,2,1,3,1910
2019,2,1,4,1545
2019,2,1,5,1579
2019,2,1,6,1973
2019,2,2,1,1248
2019,2,2,2,1004
2019,2,2,3,6383
2019,2,2,4,22350
2019,2,2,5,4306
2019,2,2,6,2965
2019,2,3,1,1203
2019,2,3,2,875
2019,2,3,3,2366
2019,2,3,4,11012
2019,2,3,5,5211
2019,2,3,6,1775
2019,2,4,1,363
2019,2,4,2,155
2019,2,4,3,521
2019,2,4,4,1648
