date,ageCensus,ethnicityCensus,geog,datacol
2014,0,0,1,3.45
2014,0,0,2,9.00
2014,0,0,3,5.38
2014,0,0,4,4.71
2014,0,0,5,10.19
2014,0,0,6,4.60
2014,0,0,7,1.44
2014,0,0,8,5.39
2014,0,0,9,5.93
2014,0,0,10,3.84
2014,0,0,11,2.95
2014,0,0,12,20.35
2014,0,0,13,5.77
2014,0,0,14,13.82
2014,0,0,15,4.01
2014,0,0,16,8.23
2014,0,0,17,3.07
2014,0,0,18,4.99
2014,0,0,19,10.31
2014,0,0,20,10.31
2014,0,0,21,7.36
2014,0,0,22,8.12
2014,0,0,23,12.46
2014,0,0,24,7.99
2014,0,0,25,10.73
2014,0,0,26,11.97
2014,0,0,27,5.92
2014,0,0,28,4.40
2014,0,0,29,4.68
2014,0,0,30,12.78
2014,0,0,31,5.03
2014,0,0,32,8.70
2014,0,0,33,11.58
2014,0,0,34,4.91
2014,0,0,35,19.70
2014,0,0,36,9.33
2014,0,0,37,4.86
2014,0,0,38,4.16
2014,0,0,39,5.39
2014,0,1,2,85.11
2014,0,1,3,7.16
2014,0,1,4,7.19
2014,0,1,5,15.95
2014,0,1,6,8.37
2014,0,1,8,23.20
2014,0,1,9,46.51
2014,0,1,11,39.47
2014,0,1,13,25.27
2014,0,1,14,17.82
2014,0,1,15,101.01
2014,0,1,16,6.67
2014,0,1,17,24.40
2014,0,1,18,16.10
2014,0,1,19,190.48
2014,0,1,20,217.39
2014,0,1,21,13.70
2014,0,1,23,12.88
2014,0,1,24,13.18
2014,0,1,25,48.78
2014,0,1,27,15.97
2014,0,1,29,29.09
2014,0,1,30,100.00
2014,0,1,31,11.49
2014,0,1,32,16.31
2014,0,1,33,1.37
2014,0,1,34,10.99
2014,0,1,35,200.00
2014,0,1,36,9.52
2014,0,1,37,22.66
2014,0,1,39,17.02
2014,0,2,3,.90
2014,0,2,6,2.42
2014,0,2,13,19.05
2014,0,2,14,35.21
2014,0,2,17,.31
2014,0,2,18,1.25
2014,0,2,23,31.75
2014,0,2,25,22.73
2014,0,2,27,1.20
2014,0,2,31,.13
2014,0,2,32,2.75
2014,0,2,37,1.44
2014,0,2,39,3.52
2014,0,3,3,24.69
2014,0,3,4,32.26
2014,0,3,5,65.22
2014,0,3,6,14.33
2014,0,3,8,41.67
2014,0,3,11,33.00
2014,0,3,13,15.09
2014,0,3,14,27.03
2014,0,3,15,13.02
2014,0,3,17,8.96
2014,0,3,18,13.63
2014,0,3,19,166.67
2014,0,3,21,21.98
2014,0,3,23,47.62
2014,0,3,25,83.33
2014,0,3,27,10.75
2014,0,3,29,19.61
2014,0,3,31,11.90
2014,0,3,32,21.70
2014,0,3,34,9.16
2014,0,3,36,33.71
2014,0,3,37,8.28
2014,0,3,39,14.49
2014,0,4,6,1.04
2014,0,4,17,5.08
2014,0,4,18,1.61
2014,0,4,27,3.01
2014,0,4,31,4.30
2014,0,4,32,11.27
2014,0,4,34,17.36
2014,0,4,37,12.20
2014,0,5,1,5.31
2014,0,5,2,7.97
2014,0,5,3,5.72
2014,0,5,4,6.12
2014,0,5,5,8.68
2014,0,5,6,4.22
2014,0,5,7,5.87
2014,0,5,8,5.23
2014,0,5,9,6.14
2014,0,5,10,10.06
2014,0,5,11,4.55
2014,0,5,12,8.72
2014,0,5,13,7.76
2014,0,5,14,12.05
2014,0,5,15,3.42
2014,0,5,16,7.79
2014,0,5,17,2.47
2014,0,5,18,4.80
2014,0,5,19,8.52
2014,0,5,20,8.21
2014,0,5,21,7.27
2014,0,5,22,6.95
2014,0,5,23,12.17
2014,0,5,24,8.69
2014,0,5,25,7.67
2014,0,5,26,12.40
2014,0,5,27,5.54
2014,0,5,28,1.95
2014,0,5,29,4.24
2014,0,5,30,8.38
2014,0,5,31,5.27
2014,0,5,32,7.48
2014,0,5,33,11.20
2014,0,5,34,4.88
2014,0,5,35,20.03
2014,0,5,36,11.39
2014,0,5,37,3.92
2014,0,5,38,4.16
2014,0,5,39,7.56
2014,0,6,3,.15
2014,0,6,14,4.59
2014,0,6,31,.10
2014,0,6,39,.12
2014,0,8,1,25.13
2014,0,8,2,12.88
2014,0,8,3,7.42
2014,0,8,4,6.78
2014,0,8,5,18.64
2014,0,8,6,7.96
2014,0,8,8,8.62
2014,0,8,9,18.67
2014,0,8,11,2.30
2014,0,8,13,7.72
2014,0,8,14,30.40
2014,0,8,15,6.08
2014,0,8,16,18.99
2014,0,8,17,5.52
2014,0,8,18,5.39
2014,0,8,19,27.55
2014,0,8,20,19.23
2014,0,8,21,8.34
2014,0,8,23,15.32
2014,0,8,24,9.19
2014,0,8,25,28.23
2014,0,8,26,26.55
2014,0,8,27,8.21
2014,0,8,29,5.58
2014,0,8,30,20.41
2014,0,8,31,7.08
2014,0,8,32,18.72
2014,0,8,33,17.38
2014,0,8,34,5.59
2014,0,8,36,8.89
2014,0,8,37,10.83
2014,0,8,38,12.20
2014,0,8,39,6.39
2014,0,9,1,2.44
2014,0,9,2,4.18
2014,0,9,3,6.96
2014,0,9,4,3.83
2014,0,9,5,4.08
2014,0,9,6,5.61
2014,0,9,8,3.69
2014,0,9,9,5.17
2014,0,9,11,1.89
2014,0,9,13,3.92
2014,0,9,14,19.16
2014,0,9,15,3.67
2014,0,9,16,11.11
2014,0,9,17,3.29
2014,0,9,18,4.63
2014,0,9,19,18.38
2014,0,9,20,7.73
2014,0,9,21,6.91
2014,0,9,22,125.00
2014,0,9,23,13.24
2014,0,9,24,3.88
2014,0,9,25,6.00
2014,0,9,26,54.55
2014,0,9,27,5.30
2014,0,9,29,2.17
2014,0,9,30,29.41
2014,0,9,31,5.09
2014,0,9,32,7.71
2014,0,9,33,30.49
2014,0,9,34,5.03
2014,0,9,36,6.63
2014,0,9,37,5.19
2014,0,9,38,2.31
2014,0,9,39,3.70
2014,0,10,1,100.00
2014,0,10,2,31.67
2014,0,10,3,6.98
2014,0,10,4,16.72
2014,0,10,5,21.14
2014,0,10,6,6.73
2014,0,10,8,11.29
2014,0,10,9,49.67
2014,0,10,11,10.12
2014,0,10,13,8.51
2014,0,10,14,26.98
2014,0,10,15,9.03
2014,0,10,16,18.87
2014,0,10,17,3.34
2014,0,10,18,5.52
2014,0,10,19,50.60
2014,0,10,20,68.06
2014,0,10,21,15.34
2014,0,10,23,18.53
2014,0,10,24,16.09
2014,0,10,25,32.57
2014,0,10,26,17.09
2014,0,10,27,6.53
2014,0,10,29,17.44
2014,0,10,30,12.50
2014,0,10,31,4.72
2014,0,10,32,16.90
2014,0,10,33,10.61
2014,0,10,34,6.14
2014,0,10,35,68.97
2014,0,10,36,7.26
2014,0,10,37,12.73
2014,0,10,38,2.92
2014,0,10,39,14.93
2014,0,11,1,2.71
2014,0,11,2,7.02
2014,0,11,3,3.89
2014,0,11,4,5.11
2014,0,11,5,8.84
2014,0,11,6,3.78
2014,0,11,7,4.82
