date,ageCensus,ethnicityCensus,geog,datacol
2014,0,0,1,7.72
2014,0,0,2,5.63
2014,0,0,3,4.90
2014,0,0,4,3.07
2014,0,0,5,5.71
2014,0,0,6,6.32
2014,0,1,1,14.59
2014,0,1,2,20.40
2014,0,1,3,20.07
2014,0,1,4,24.40
2014,0,1,5,15.76
2014,0,1,6,14.92
2014,0,2,1,3.06
2014,0,2,2,1.79
2014,0,2,3,.41
2014,0,2,4,.31
2014,0,2,5,1.21
2014,0,2,6,4.39
2014,0,3,1,20.31
2014,0,3,2,23.95
2014,0,3,3,11.33
2014,0,3,4,8.96
2014,0,3,5,10.83
2014,0,3,6,13.41
2014,0,4,1,11.27
2014,0,4,3,2.96
2014,0,4,4,5.08
2014,0,4,5,2.80
2014,0,4,6,8.48
2014,0,5,1,7.57
2014,0,5,2,6.96
2014,0,5,3,4.80
2014,0,5,4,2.47
2014,0,5,5,5.35
2014,0,5,6,5.88
2014,0,6,2,.12
2014,0,6,3,.10
2014,0,6,6,4.59
2014,0,8,1,16.87
2014,0,8,2,7.63
2014,0,8,3,7.36
2014,0,8,4,5.52
2014,0,8,5,7.61
2014,0,8,6,10.23
2014,0,9,1,5.15
2014,0,9,2,4.25
2014,0,9,3,4.42
2014,0,9,4,3.29
2014,0,9,5,5.13
2014,0,9,6,6.97
2014,0,10,1,16.59
2014,0,10,2,12.98
2014,0,10,3,6.64
2014,0,10,4,3.34
2014,0,10,5,6.33
2014,0,10,6,10.05
2014,0,11,1,7.18
2014,0,11,2,5.79
2014,0,11,3,4.39
2014,0,11,4,2.00
2014,0,11,5,5.12
2014,0,11,6,5.35
2014,0,12,1,22.39
2014,0,12,2,31.88
2014,0,12,3,11.28
2014,0,12,4,9.08
2014,0,12,5,11.39
2014,0,12,6,12.88
2014,1,0,1,11.77
2014,1,0,2,8.08
2014,1,0,3,7.74
2014,1,0,4,4.43
2014,1,0,5,9.06
2014,1,0,6,10.28
2014,1,1,1,21.26
2014,1,1,2,38.01
2014,1,1,3,37.88
2014,1,1,4,38.84
2014,1,1,5,30.47
2014,1,1,6,29.00
2014,1,2,1,7.81
2014,1,2,3,.65
2014,1,2,4,.22
2014,1,2,5,2.46
2014,1,2,6,95.24
2014,1,3,1,22.39
2014,1,3,2,34.29
2014,1,3,3,16.97
2014,1,3,4,13.70
2014,1,3,5,15.75
2014,1,3,6,26.57
2014,1,4,1,4.67
2014,1,4,3,3.77
2014,1,4,4,2.86
2014,1,4,5,2.38
2014,1,4,6,21.28
2014,1,5,1,11.97
2014,1,5,2,9.99
2014,1,5,3,7.96
2014,1,5,4,3.79
2014,1,5,5,8.56
2014,1,5,6,10.12
2014,1,8,1,22.24
2014,1,8,2,9.06
2014,1,8,3,8.20
2014,1,8,4,5.84
2014,1,8,5,11.12
2014,1,8,6,11.33
2014,1,9,1,7.34
2014,1,9,2,5.32
2014,1,9,3,5.09
2014,1,9,4,3.27
2014,1,9,5,4.68
2014,1,9,6,8.63
2014,1,10,1,23.66
2014,1,10,2,21.48
2014,1,10,3,9.58
2014,1,10,4,4.22
2014,1,10,5,11.43
2014,1,10,6,14.42
2014,1,11,1,11.63
2014,1,11,2,9.14
2014,1,11,3,7.72
2014,1,11,4,3.50
2014,1,11,5,8.76
2014,1,11,6,9.65
2014,1,12,1,22.53
2014,1,12,2,44.32
2014,1,12,3,17.75
2014,1,12,4,13.77
2014,1,12,5,17.09
2014,1,12,6,28.14
2014,2,0,1,6.84
2014,2,0,2,5.25
2014,2,0,3,5.10
2014,2,0,4,2.63
2014,2,0,5,5.61
2014,2,0,6,5.68
2014,2,1,1,11.17
2014,2,1,2,13.62
2014,2,1,3,14.13
2014,2,1,4,12.90
2014,2,1,5,17.26
2014,2,1,6,16.92
2014,2,2,1,32.26
2014,2,2,2,2.96
2014,2,2,3,.46
2014,2,2,4,.23
2014,2,2,6,6.49
2014,2,3,1,14.66
2014,2,3,2,27.40
2014,2,3,3,9.20
2014,2,3,4,6.15
2014,2,3,5,12.03
2014,2,3,6,9.89
2014,2,4,1,10.75
2014,2,4,3,7.43
2014,2,4,4,6.58
2014,2,4,5,4.14
2014,2,4,6,4.83
2014,2,5,1,6.67
2014,2,5,2,6.70
2014,2,5,3,5.15
2014,2,5,4,2.15
2014,2,5,5,5.30
2014,2,5,6,4.94
2014,2,6,2,.14
2014,2,6,3,1.34
2014,2,6,6,3.80
2014,2,8,1,18.08
2014,2,8,2,6.98
2014,2,8,3,8.40
2014,2,8,4,6.49
2014,2,8,5,7.25
2014,2,8,6,12.26
2014,2,9,1,4.38
2014,2,9,2,4.21
2014,2,9,3,5.25
2014,2,9,4,2.83
2014,2,9,5,5.40
2014,2,9,6,6.50
2014,2,10,1,16.46
2014,2,10,2,9.87
2014,2,10,3,6.12
2014,2,10,4,3.36
2014,2,10,5,5.14
2014,2,10,6,11.70
2014,2,11,1,6.46
2014,2,11,2,5.54
2014,2,11,3,4.66
2014,2,11,4,1.76
2014,2,11,5,5.12
2014,2,11,6,4.44
2014,2,12,1,21.78
2014,2,12,2,32.07
2014,2,12,3,10.22
2014,2,12,4,5.96
2014,2,12,5,12.78
2014,2,12,6,8.34
2014,3,0,1,5.49
2014,3,0,2,4.11
2014,3,0,3,3.08
2014,3,0,4,1.99
2014,3,0,5,3.42
2014,3,0,6,3.66
2014,3,1,1,13.66
2014,3,1,2,12.59
2014,3,1,3,17.69
2014,3,1,4,19.89
2014,3,1,5,6.76
2014,3,1,6,8.81
2014,3,2,1,4.93
2014,3,2,4,.25
2014,3,2,5,1.06
2014,3,2,6,3.47
2014,3,3,1,22.11
2014,3,3,2,18.22
2014,3,3,3,8.68
2014,3,3,4,5.91
2014,3,3,5,5.89
2014,3,3,6,8.52
2014,3,4,1,4.74
2014,3,4,3,16.88
2014,3,4,4,3.89
2014,3,4,5,3.09
2014,3,5,1,5.34
2014,3,5,2,5.03
2014,3,5,3,2.72
2014,3,5,4,1.49
2014,3,5,5,3.16
2014,3,5,6,3.34
2014,3,6,6,6.80
2014,3,8,1,13.00
2014,3,8,2,7.36
2014,3,8,3,5.87
2014,3,8,4,3.66
2014,3,8,5,4.40
2014,3,8,6,7.61
2014,3,9,1,3.96
2014,3,9,2,3.37
2014,3,9,3,2.87
2014,3,9,4,3.25
2014,3,9,5,5.25
2014,3,9,6,5.42
2014,3,10,1,11.04
2014,3,10,2,9.38
2014,3,10,3,5.53
2014,3,10,4,2.28
2014,3,10,5,3.29
2014,3,10,6,6.03
2014,3,11,1,5.11
2014,3,11,2,3.88
2014,3,11,3,2.41
2014,3,11,4,1.02
2014,3,11,5,2.82
2014,3,11,6,2.89
2014,3,12,1,24.82
2014,3,12,2,29.05
2014,3,12,3,8.72
2014,3,12,4,5.59
2014,3,12,5,5.95
2014,3,12,6,9.18
2014,4,0,1,6.47
2014,4,0,2,4.70
2014,4,0,3,3.22
2014,4,0,4,3.23
2014,4,0,5,4.23
2014,4,0,6,5.75
2014,4,1,1,24.86
