"State","rank0","rank17","0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17"
"Alabama",26,25,17.7,7.4,6.4,5.4,5.7,5.4,4.8,5.4,4.9,4.3,4.2,3.5,3.8,3.7,4.4,4.6,4.9,3.4
"Alaska",19,39,19.2,9.2,6.9,7.2,6.7,5.5,5.5,5.7,5.3,4.5,4.5,4.7,3.2,2.6,2.5,2.2,2.4,2.2
"Arizona",16,26,19.6,7.3,6.8,6,5.5,5.3,4.9,4.9,4.2,4.3,4.2,3.4,3.4,3.4,4.3,4.5,4.6,3.3
"Arkansas",15,31,19.7,8,7.6,6.6,5.2,5.6,5.2,5,5,4.5,3.6,3.2,3.5,3.7,3.6,3.9,3.2,2.9
"California",12,13,20.9,7.4,6.2,5.7,5,5,4.8,4.5,4.2,4,3.5,3.3,3.3,3.4,4,4.5,5.4,4.9
"Colorado",41,4,15.1,6.6,5.5,4.9,4.4,4.2,4,4,3.4,3.6,3,3.6,3.5,4.2,5.5,8,8.8,7.5
"Connecticut",5,22,23.4,8.1,6.2,5.7,4.5,4.9,4.3,4.6,3.9,3.9,3,3.4,3.2,3.1,4.4,4.8,4.6,4
"Delaware",9,20,21.1,5.5,6.2,6.4,3.8,3.8,6.2,6.4,3.4,2.8,4.5,3.6,2.6,4.1,6.6,4.7,4.3,4.1
"District of Columbia",37,20,15.9,6.9,5.8,7.4,4.7,4.9,5.8,4.4,4.9,3.3,3,3.6,4.7,4.1,4.1,6,6.3,4.1
"Florida",19,34,19.2,8.9,7.5,6.9,6,5.6,5.2,5.3,4.9,4.2,3.7,3.6,3.3,3.4,3.4,3.4,3.2,2.3
"Georgia",28,34,17.4,7.8,7.1,5.9,5,5.2,4.9,4.9,4.2,4.3,3.7,3.6,3.6,4.3,5,5.4,5.4,2.3
"Hawaii",13,31,20,6.9,9.3,5.1,5.7,5.6,4.1,5.5,5.5,4.1,3.2,3.4,3.9,3.7,3.2,4.4,3.7,2.9
"Idaho",23,26,18.5,8.2,6.3,7.6,3.5,6.4,5.7,4.6,5.4,5.1,3.5,3.8,3.5,3.3,4.1,4,3.3,3.3
"Illinois",2,39,25.8,8.5,6.8,6.3,5.6,4.9,4.4,4.2,4.1,4.3,3.3,2.8,3.2,3.6,3.1,3.6,3.6,2.2
"Indiana",27,34,17.5,9.1,7.9,7.1,6,5.6,5.5,5.2,5,4.8,3.9,3.6,3.1,3.6,3.6,3.1,3.2,2.3
"Iowa",43,16,14.5,7.7,7.2,6.1,5,4.6,4.5,5.1,4,4,3.5,3.4,3.1,4.5,4.7,6.9,6.6,4.5
"Kansas",47,24,13.6,7.4,6.2,5.4,5,4.8,5.3,5,4.7,4,4.4,4.1,4.3,4.6,5.3,6.7,5.8,3.5
"Kentucky",39,10,15.6,6.7,5.9,4.8,4.7,4.2,4.4,4.4,4.1,3.8,3.3,3.6,3.3,4.6,5.4,6.5,8,6.7
