"State","start","end","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"Alabama",4.2,7.4,4.2,7.5,7.8,8,7.8,7.6,8,7.8,7.8,7.7,7.4
"Alaska",6.9,14.4,6.9,16.8,15.2,16.7,16.2,17.9,16.7,14,12.9,13.4,14.4
"Arizona",3.9,6.9,3.9,3,2.3,2.3,2.2,2.8,4.8,5.3,6.6,6.5,6.9
"Arkansas",10.7,12.8,10.7,11.7,12.4,12.6,12.6,14.7,16.5,15.1,15.7,13.4,12.8
"California",9.5,8.2,9.5,9.1,8.8,8.6,8.4,8.1,8.5,8.5,8.3,8.3,8.2
"Colorado",7.6,8.1,7.6,8.2,8.8,8.6,9,9.3,9,8.4,8.4,7.9,8.1
"Connecticut",14.3,9.5,14.3,12.6,12.3,11.2,11.1,11.8,12.5,11.8,9.5,9.4,9.5
"Delaware",8.5,7.5,8.5,9.3,9.9,10,10.5,10,10.2,12.3,10.5,8.7,7.5
"District of Columbia",21.1,12.5,21.1,25,22,23.4,30.8,26.5,27.7,21.7,19.5,16.6,12.5
"Florida",13.5,10.9,13.5,13.9,14.1,12.2,11.5,12.1,12.8,13.3,12.8,11.8,10.9
"Georgia",6.8,10,6.8,17.6,14.9,12.9,10.2,8.8,7.4,7.9,7.8,7.6,10
"Hawaii",10.7,4.7,10.7,8.4,6.1,6.8,6,7.1,4.8,4.6,4.4,4.2,4.7
"Idaho",4.7,3.7,4.7,4.4,4,3.6,4.1,3.6,3.7,3.4,3.3,4,3.7
"Illinois",8.3,9.9,8.3,8.5,8.4,8.7,7.9,5.6,5.4,5.5,6.4,6.3,9.9
"Indiana",10.6,15.3,10.6,11.5,11.5,10.4,13.1,13.8,12.5,11.6,13.6,13.8,15.3
"Iowa",16.7,10,16.7,17.6,17.9,16.2,14.4,16.4,16.2,15.2,14.7,15.3,10
"Kansas",5.3,2.7,5.3,4,3.2,3,2,1.9,2.1,2.5,2.7,2.8,2.7
"Kentucky",14.8,18.3,14.8,15,15.2,14.5,13.9,14.4,14.8,15.2,16,16.8,18.3
"Louisiana",8.7,10.9,8.7,8.8,9.7,9.2,8.1,8.3,7.1,8.1,7,9.7,10.9
"Maine",12.2,13.9,12.2,10.4,11.8,13.6,13.5,13.3,11.5,12.1,15.1,14.7,13.9
"Maryland",4.9,2.9,4.9,2.9,2.9,5,5.3,5.1,3.2,5.1,5.1,4.2,2.9
"Massachusetts",22,25,22,21.6,22.4,23.8,26.2,22.5,16.6,13.7,14,15.5,25
"Michigan",9.3,7.6,9.3,9.4,4.4,2.5,7.1,7.6,8.2,8.6,8.4,9.2,7.6
"Minnesota",6.1,3.3,6.1,6,5.3,4.7,4,3.5,3.4,3.4,3.3,3.3,3.3
"Mississippi",7.4,11.5,7.4,7.6,7.8,8.8,9.9,9.8,9.4,9.5,9.6,10.8,11.5
"Missouri",6,4,6,5.2,4.6,4.2,3.7,3.7,3.9,4,3,3.7,4
"Montana",6.9,5.6,6.9,7.7,6.7,6.7,6.3,6.3,5.2,5,5.8,5.7,5.6
"Nebraska",10.9,8.1,10.9,11,9.9,8.7,9.7,10.6,9.6,9,7.8,8.6,8.1
"Nevada",7.5,7.3,7.5,7.9,7.9,7.4,6.5,6.8,7.4,7.7,8.6,8,7.3
"New Hampshire",3,2.7,3,2.7,2.7,3.3,3.2,3.2,3.1,3.2,3.1,2.5,2.7
"New Jersey",3.5,5.4,3.5,4.8,4.8,3.8,4.1,4.2,4.2,4.3,4.2,5.6,5.4
"New Mexico",11.3,15.6,11.3,11,10.1,10.6,9.5,9.9,10.9,11.4,12.2,13.9,15.6
"New York",13.3,15.9,13.3,13.4,16.3,16.2,17.1,17.7,17.5,16.2,15.8,15.4,15.9
"North Carolina",12,3.5,12,9.8,6.4,4.7,4,3.9,3.9,3.9,3.7,3.6,3.5
"North Dakota",NA,9.3,NA,NA,NA,NA,NA,2.9,7.7,8.5,9.5,9.6,9.3
"Ohio",8.7,6.4,8.7,8.6,8.6,8.1,7.4,7.2,7.4,7.2,7.1,6.9,6.4
"Oklahoma",13.1,14.4,13.1,14.3,13.5,12.8,10.1,7.4,8,8.9,11.1,13,14.4
"Oregon",NA,12.2,NA,NA,NA,NA,NA,NA,NA,5.8,12,11.1,12.2
"Pennsylvania",1.5,1.2,1.5,1.4,1.4,1.4,1.4,1.3,1.2,1.2,1.2,1.2,1.2
"Rhode Island",11.6,15.7,11.6,13.2,15.8,13.6,11.7,12.9,15.1,14.3,14.7,15,15.7
"South Carolina",9.3,12,9.3,9.8,10.1,11.6,10.8,10.9,10.7,10.9,9.4,10.1,12
"South Dakota",6.5,4.5,6.5,7.5,6.4,7.4,6.4,6.9,7,6.5,5.8,4.3,4.5
"Tennessee",8.8,6.6,8.8,11.1,11.1,8.5,5.9,5.5,5.9,6.1,6,7.2,6.6
"Texas",8.7,9.4,8.7,9.7,10.4,10.2,9.8,10.2,9.5,8.8,9,9,9.4
"Utah",16.7,10.8,16.7,15.9,15.1,15.6,15.6,14.7,14.5,10.8,10.6,10.6,10.8
"Vermont",7.5,7.7,7.5,6.6,6.3,5.5,5.3,4.6,5,5.7,5.2,6.3,7.7
"Virginia",3.7,3.3,3.7,3.5,3.5,3.1,3.2,3.2,3.2,3.1,3.1,3.3,3.3
"Washington",4,4.3,4,4.3,4.1,4,4.2,4,4.2,4.1,4.2,4.7,4.3
"West Virginia",19.9,12.3,19.9,19.8,16.8,14.3,12.7,11.7,9.8,11,11.4,12,12.3
